,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
0,ACC 111,03,Principles of Financial Accounting,empty,empty,empty,Lecture
1,ACC 111,04,Principles of Financial Accounting,empty,empty,empty,Lecture
2,ACC 111,05,Principles of Financial Accounting,empty,empty,empty,Lecture
3,ACC 301,BLK,Principles of Managerial Accounting,empty,ACC 111 AND ECN 111 AND (ECN 120 OR MTH 120) AND (MTH 145 OR MTH 150) AND Declared Business Administration Major,empty,Lecture
4,ACC 312,01,Intermediate Accounting II,empty,ACC 311 Intermediate Financial Accounting I,empty,Lecture
5,ACC 340,01,Federal Income Taxation,empty,ACC 111 Principles of Financial Accounting,empty,Lecture
6,ACC 350,01,Accounting Information Systems,empty,ACC 111 and Declared Accounting major,empty,Lecture
7,ANT 101,01,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
8,ANT 101,02,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
9,ANT 105,01,Introduction to Archaeology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
10,ANT 105,02,Introduction to Archaeology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
11,ANT 204,01,Modern Japanese Society through Films,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology, IDS :: Asian Studies, IDS :: Film Studies, IDS :: Japanese Studies",empty,empty,Lecture
12,ANT 204,02,Modern Japanese Society through Films,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology, IDS :: Asian Studies, IDS :: Film Studies, IDS :: Japanese Studies",empty,empty,Lecture
13,ANT 250,01,Race and the U.S. Criminal Justice System,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Anthropology",empty,empty,Lecture
14,ANT 302,01,Anthropology of Race and Ethnicity,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Africana Studies, IDS :: Anthropology",empty,empty,Lecture
15,ART 111,01,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
16,ART 111,02,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
17,ART 111,03,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
18,ART 111,04,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
19,ART 111,05,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
20,ART 112,01,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
21,ART 112,02,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
22,ART 113,01,Introduction to Painting,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
23,ART 124,01,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
24,ART 124,02,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
25,ART 132,01,Histories of Art I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
26,ART 133,01,Histories of Art II,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
27,ART 200,01,Ceramics I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),ART 113 AND ART 124,empty,Studio
28,ART 201,01,Ceramics II,empty,empty,empty,Studio
29,ART 205,01,Darkroom Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
30,ART 206,01,Color and Digital Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
31,ART 221,01,Graphic Design II,empty,ART 111 Visual Language I,empty,Studio
32,ART 258,01,Embodied Representations,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Medicine, Health and Culture, IDS :: Womenâ€™s, Gender, and Sexuality Studies",empty,empty,Lecture
33,ART 274,01,Curatorial Issues and Practices,empty,ART 130 OR ART 131 OR ART 132 OR ART 133,empty,Studio
34,ART 401,01,Studio Seminar,empty,ART 113 AND ART 124 AND (ART 130 OR ART 132) AND (ART 201 OR ART 204 OR ART 206 OR ART 208 OR ART 210 OR ART 221),empty,Studio
35,ART 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
36,AST 200,01,Introduction to Asian Studies,"GER - Global Awareness :: WC (World Cultures), IDS :: Asian Studies, IDS :: Chinese Studies, IDS :: Japanese Studies",Instructor Permission Required,empty,Seminar
37,AST 220,01,Ramayana,"GER - CORE :: UQ (Ultimate Questions), GER - Global Awareness :: WC (World Cultures), IDS :: Asian Studies",empty,empty,Lecture
38,AST 250,01,Human Development in Contemporary Asia,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology, IDS :: Asian Studies, IDS :: Chinese Studies",empty,empty,Lecture
39,AST 470,01,Seminar in Asian Studies,"IDS :: Asian Studies, IDS :: Chinese Studies, IDS :: Japanese Studies",Instructor Permission Required,empty,Seminar
40,BIO 075,01,Seminar in Biology,empty,empty,empty,Seminar
41,BIO 101,01,Principles of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only),No BIO 101 Equivalencies,empty,Lecture
42,BIO 101,01L,Principles of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only),No BIO 101 Equivalencies,empty,Laboratory
43,BIO 102,01,Biology and the Environment,"GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only), GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies",No BIO 101 Equivalencies,empty,Lecture
