,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
418,HSC 211,01,Anatomy and Physiology II,empty,HSC 210 AND (Declared Health Science or Public Health Majors only),HSC 211-01L - Anatomy and Physiology II,Lecture
419,HSC 211,01L,Anatomy and Physiology II,empty,HSC 210 AND (Declared Health Science or Public Health Majors only),HSC 211-01 - Anatomy and Physiology II,Laboratory
420,HSC 211,02,Anatomy and Physiology II,empty,HSC 210 AND (Declared Health Science or Public Health Majors only),HSC 211-02L - Anatomy and Physiology II,Lecture
421,HSC 211,02L,Anatomy and Physiology II,empty,HSC 210 AND (Declared Health Science or Public Health Majors only),HSC 211-02 - Anatomy and Physiology II,Laboratory
422,HSC 221,01,Motor Development,GER - CORE :: HB (Empirical Study of Human Behavior),HSC 101 AND (Declared Health Science or Public Health Majors only),empty,Lecture
423,HSC 221,01L,Motor Development,GER - CORE :: HB (Empirical Study of Human Behavior),HSC 101 AND (Declared Health Science or Public Health Majors only),empty,Laboratory
424,HSC 244,01,Scientific Princples of Training,empty,HSC 101 AND (Declared Health Science or Public Health Majors only),empty,Lecture
425,HSC 304,01,Environmental Health,"GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies, IDS :: Medicine, Health and Culture",HSC 201 AND (Declared Health Science or Public Health Majors only),empty,Lecture
426,HSC 305,01,Global Public Health (Survey in Global Public Health),"GER - Global Awareness :: WC (World Cultures), GER - Writing :: WR (Writing-Research Intensive), IDS :: Medicine, Health and Culture, IDS :: Poverty Studies",(HSC 201) AND (HSC 205) AND (Declared HSC or PBH majors),empty,Lecture
427,HSC 307,01,Health Systems  Services and Policy Administration,"IDS :: Medicine, Health and Culture",HSC 101 AND HSC 205 AND (Declared HSC or PBH major),empty,Lecture
428,HSC 308,01,Exercise Epidemiology,"GER - Writing :: WR (Writing-Research Intensive), IDS :: Medicine, Health and Culture",HSC 201 AND (Declared Health Science or Public Health Majors only),empty,Lecture
429,HSC 311,01,Physiology of Exercise,GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only),HSC 210 AND (Declared Health Science or Public Health Majors only),HSC 311-01L - Physiology of Exercise,Lecture
