,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
286,ECN 346,02,Intermediate Microeconomic Analysis,empty,ECN 111 AND (MTH 145 OR MTH 150) AND (1 Economics course numbered 201 or higher excluding ECN 503),empty,Lecture
287,ECN 475,01,Senior Seminar in Economics (Voting Behavior and the Economy),IDS :: Data Analytics,ECN 331 AND ECN 345 AND ECN 346,empty,Seminar
288,ECN 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
289,EDU 001,01,Education Laboratory I,empty,empty,EDU 111-01 - Perspectives on American Education,Laboratory
290,EDU 111,01,Perspectives on American Education,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Poverty Studies",empty,EDU 001-01 - Education Laboratory I,Lecture
291,EDU 112,01,History of Education in America,"GER - CORE :: HA (Historical Analysis), GER - Global Awareness :: IEJ (Identities, Equity, and Justice)",empty,empty,Lecture
292,EDU 114,01,"Culture, Identity, and Schooling","GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice)",empty,empty,Lecture
293,EDU 120,01,Human Development,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Science Education",empty,empty,Lecture
294,EDU 120,02,Human Development,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Science Education",empty,empty,Lecture
295,EDU 120,03,Human Development,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Science Education",empty,empty,Lecture
296,EDU 200,01,Health Education and Physical Activity,empty,EDU 120 Human Development,empty,Lecture
297,EDU 221,01,Students with Exceptionalities,IDS :: Science Education,EDU 120 Human Development,empty,Lecture
298,EDU 330,01,Literacy Foundations and Instruction in Grades PK-3,empty,EDU 111 AND EDU 120,empty,Lecture
299,EDU 333,01,Science in Grades PK-6,IDS :: Science Education,EDU 111 AND EDU 120,empty,Lecture
300,EDU 333,01L,Science in Grades PK-6,IDS :: Science Education,EDU 111 AND EDU 120,empty,Laboratory
301,EDU 339,01,"Methods, Materials, and Assessment Early Childhood",empty,EDU 111 AND EDU 120,empty,Lecture
302,EDU 431,01,Diverse School Cultures: Teaching  Learning and Managment,empty,Education or Educational Studies only,empty,Lecture
303,EDU 451,01,Literature for Young Adults,empty,EDU 111 AND EDU 120,empty,Lecture
304,EES 112,01,Environmental Science,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies",empty,EES 112-01L - Environmental Science,Lecture
305,EES 112,01L,Environmental Science,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies",empty,EES 112-01 - Environmental Science,Laboratory
306,EES 112,02,Environmental Science,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies",empty,EES 112-02L - Environmental Science,Lecture
307,EES 112,02L,Environmental Science,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies",empty,EES 112-02 - Environmental Science,Laboratory
308,EES 112,03,Environmental Science,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies",empty,EES 112-03L - Environmental Science,Lecture
309,EES 112,03L,Environmental Science,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies",empty,EES 112-03 - Environmental Science,Laboratory
310,EES 113,01,Natural Hazards and Natural Disasters,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment)",empty,empty,Lecture
311,EES 113,01L,Natural Hazards and Natural Disasters,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment)",empty,empty,Laboratory
312,EES 115,01,Earth Systems,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment)",empty,EES 115-01L - Earth Systems,Lecture
313,EES 115,01L,Earth Systems,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment)",empty,EES 115-01 - Earth Systems,Laboratory
314,EES 115,02,Earth Systems,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment)",empty,EES 115-02L - Earth Systems,Lecture
315,EES 115,02L,Earth Systems,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), GER - Global Awareness :: NE (Humans and the Natural Environment)",empty,EES 115-02 - Earth Systems,Laboratory
316,EES 201,01,Geographic Information Systems,"IDS :: Data Analytics, IDS :: Environmental Studies, IDS :: Urban Studies",empty,empty,Lecture
317,EES 201,01L,Geographic Information Systems,"IDS :: Data Analytics, IDS :: Environmental Studies, IDS :: Urban Studies",empty,empty,Laboratory
318,EES 210,01,Surficial Processes,IDS :: Environmental Studies,EES 111 OR EES 112 OR EES 113 OR EES 115,empty,Lecture
319,EES 210,01L,Surficial Processes,IDS :: Environmental Studies,EES 111 OR EES 112 OR EES 113 OR EES 115,empty,Laboratory
320,EES 220,01,Mineralogy and Petrology I,empty,EES 111 OR EES 112 OR EES 113 OR EES 115,empty,Lecture
321,EES 220,01L,Mineralogy and Petrology I,empty,EES 111 OR EES 112 OR EES 113 OR EES 115,empty,Laboratory
322,EES 472,01,Research and Analysis,GER - Writing :: WR (Writing-Research Intensive),(any FYW course) AND (EES 111 OR EES 112 OR EES 113 OR EES 115),empty,Seminar
323,ENG 111,03,Texts and Meaning (Science Fiction: The Pulp Era to the Present),"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)",empty,empty,Lecture
324,ENG 112,01,Texts and Identities (Chants Democratic: American Literary Identities),"GER - CORE :: TA (Critical, Analytical Interpretation of Texts), GER - Global Awareness :: IEJ (Identities, Equity, and Justice)",FYW (First Year Writing Seminar),empty,Lecture
325,ENG 112,02,Texts and Identities (Chants Democratic: American Literary Identities),"GER - CORE :: TA (Critical, Analytical Interpretation of Texts), GER - Global Awareness :: IEJ (Identities, Equity, and Justice)",FYW (First Year Writing Seminar),empty,Lecture
326,ENG 200,01,Introduction to Creative Writing,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)",FYW (First Year Writing Seminar),empty,Lecture
327,ENG 200,02,Introduction to Creative Writing,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)",FYW (First Year Writing Seminar),empty,Lecture
328,ENG 212,01,Journalism Principles and Practice,IDS :: Journalism,FYW (First Year Writing Seminar),empty,Lecture
329,ENG 223,01,Writing Nonfiction,"IDS :: Journalism, IDS :: Science Education",FYW (First Year Writing Seminar),empty,Lecture
