,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
1105,THA 510,02,Theatre Practicum,empty,empty,empty,Experiential
1106,THA 510,03,Theatre Practicum,empty,empty,empty,Experiential
1107,UNV EXKG,01,Kansai Gadai University-Japan,empty,empty,empty,Experiential
1108,UNV EXSG,01,Seinan Gakuin University-Japan,empty,empty,empty,Lecture
1109,UNV SAAG,01,College Year in Athens,empty,empty,empty,Experiential
1110,UNV SABU,01,Arcadia Abroad-Australia Bond University,empty,empty,empty,Lecture
1111,UNV SACI,01,CIMBA-Northern Italy,empty,empty,empty,Lecture
1112,UNV SADN,01,Danish Institute for Study Abroad-Denmark,empty,empty,empty,Experiential
1113,UNV SASW,01,Danish Institute for Study Abroad-Sweden,empty,empty,empty,Experiential
1114,UNV SAUO,01,Arcadia Abroad: New Zealand University of Otago,empty,empty,empty,Lecture
1115,UNV TSBZ,01,Belize-Travel Study,empty,empty,empty,Lecture
1116,UNV TSGR,01,Germany-Travel Study,empty,empty,empty,Lecture
1117,UNV TSIT,01,Italy-Travel Study,empty,empty,empty,Lecture
1118,UNV TSLN,01,England-Furman in London,empty,Instructor Permission Required,empty,Experiential
1119,WGS 101,01,Issues in Women's  Gender and Sexuality Studies,"GER - Global Awareness :: IEJ (Identities, Equity, and Justice)/IDS :: Womenâ€™s, Gender, and Sexuality Studies",empty,empty,Lecture
1120,WGS 250,01,Introduction to Queer Theory and Sexuality Studies,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)/GER - Global Awareness :: IEJ (Identities, Equity, and Justice)/IDS :: Womenâ€™s, Gender, and Sexuality Studies",FYW (First Year Writing Seminar),empty,Lecture
