,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
571,MUS 352,02,Basic Conducting,empty,MUS 211A AND MUS 211B AND MUS 211C,empty,Lecture
572,MUS 410,01,Counterpoint,empty,MUS 212A AND MUS 212B AND MUS 212C,empty,Lecture
573,MUS 412,01,Senior Project,empty,MUS 212A AND MUS 212B AND MUS 212C,empty,Lecture
574,MUS 420A,01,Literature of the Cello,empty,MUS 212A AND MUS 212B AND MUS 212C,empty,Lecture
575,MUS 420U,01,Literature of the Lyric Theater (Opera and Musical Theatre),empty,empty,empty,Lecture
576,MUS 423,01,Survey of Choral Literature,empty,MUS 212A AND MUS 212B AND MUS 212C,empty,Lecture
577,MUS 451,01,Piano Pedagogy,empty,MUS 212A AND MUS 212B AND MUS 212C,empty,Studio
578,MUS 456,01,Lyric Diction II,empty,MUS 511 OR MUS 511A OR MUS 511C OR MUS 511D OR MUS 511E - Copy,empty,Lecture
579,MUS 501,01,Independent Study,empty,Instructor permission required,empty,Independent Study
580,MUS 501,02,Independent Study,empty,Instructor permission required,empty,Independent Study
581,MUS 501,03,Independent Study,empty,Instructor permission required,empty,Independent Study
582,MUS 501,04,Independent Study,empty,Instructor permission required,empty,Independent Study
583,MUS 505,01,Chamber Music for Winds & Percussion,empty,empty,empty,Independent Study
584,MUS 511,01,Voice,IDS :: Musical Theatre,empty,empty,Studio
585,MUS 511,02,Voice,IDS :: Musical Theatre,empty,empty,Studio
586,MUS 511,03,Voice,IDS :: Musical Theatre,empty,empty,Studio
587,MUS 511,04,Voice,IDS :: Musical Theatre,empty,empty,Studio
588,MUS 511,05,Voice,IDS :: Musical Theatre,empty,empty,Studio
589,MUS 511,06,Voice,IDS :: Musical Theatre,empty,empty,Studio
590,MUS 511,07,Voice,IDS :: Musical Theatre,empty,empty,Studio
591,MUS 511A,01,Voice,IDS :: Musical Theatre,empty,empty,Studio
592,MUS 511A,02,Voice,IDS :: Musical Theatre,empty,empty,Studio
593,MUS 511A,03,Voice,IDS :: Musical Theatre,empty,empty,Studio
594,MUS 511A,04,Voice,IDS :: Musical Theatre,empty,empty,Studio
595,MUS 511A,05,Voice,IDS :: Musical Theatre,empty,empty,Studio
596,MUS 511A,06,Voice,IDS :: Musical Theatre,empty,empty,Studio
597,MUS 511C,01,Voice,IDS :: Musical Theatre,empty,empty,Studio
598,MUS 511C,02,Voice,IDS :: Musical Theatre,empty,empty,Studio
599,MUS 511C,03,Voice,IDS :: Musical Theatre,empty,empty,Studio
600,MUS 511C,04,Voice,IDS :: Musical Theatre,empty,empty,Studio
601,MUS 511C,05,Voice,IDS :: Musical Theatre,empty,empty,Studio
602,MUS 511C,06,Voice,IDS :: Musical Theatre,empty,empty,Studio
603,MUS 511D,01,Voice,IDS :: Musical Theatre,empty,empty,Studio
604,MUS 511D,02,Voice,IDS :: Musical Theatre,empty,empty,Studio
605,MUS 511D,03,Voice,IDS :: Musical Theatre,empty,empty,Studio
606,MUS 511D,04,Voice,IDS :: Musical Theatre,empty,empty,Studio
607,MUS 511D,05,Voice,IDS :: Musical Theatre,empty,empty,Studio
608,MUS 511D,06,Voice,IDS :: Musical Theatre,empty,empty,Studio
609,MUS 511E,01,Voice,IDS :: Musical Theatre,empty,empty,Studio
610,MUS 511E,02,Voice,IDS :: Musical Theatre,empty,empty,Studio
