,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
0,ACC 111,01,Principles of Financial Accounting,empty,First Year or Sophomore Class Standing,empty,Lecture
1,ACC 111,03,Principles of Financial Accounting,empty,empty,empty,Lecture
2,ACC 111,04,Principles of Financial Accounting,empty,empty,empty,Lecture
3,ACC 301,BLK,Principles of Managerial Accounting,empty,ACC 111 AND ECN 111 AND (ECN 120 OR MTH 120) AND (MTH 145 OR MTH 150),empty,Lecture
4,ACC 311,01,Intermediate Accounting I,empty,ACC 111 Principles of Financial Accounting,empty,Lecture
5,ACC 320,01,Cost Accounting,empty,ACC 111 Principles of Financial Accounting,empty,Lecture
6,ACC 330,01,Auditing,empty,ACC 312 Intermediate Financial Accounting II,empty,Lecture
7,ACC 370,01,Intermediate Accounting III,empty,ACC 312 Intermediate Financial Accounting II,empty,Lecture
8,AFS 100,01,Introduction to Africana Studies,IDS :: Africana Studies,empty,empty,Lecture
9,ANT 101,01,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
10,ANT 101,02,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
11,ANT 101,03,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
12,ANT 205,01,Japanese Popular Culture,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures)",empty,empty,Lecture
13,ANT 205,02,Japanese Popular Culture,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures)",empty,empty,Lecture
14,ANT 205,03,Japanese Popular Culture,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures)",empty,empty,Lecture
15,ANT 258,01,Women in Africa and the African Diaspora,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Africana Studies, IDS :: Anthropology, IDS :: Womenâ€™s, Gender, and Sexuality Studies",empty,empty,Lecture
16,ANT 262,01,Magic and Religion,"GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
17,ANT 304,01,Archaeology Method and Theory,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Anthropology",ANT 101 or ANT 105,ANT 304-01L - Archaeology Method and Theory,Lecture
18,ANT 304,01L,Archaeology Method and Theory,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Anthropology",ANT 101 or ANT 105,ANT 304-01 - Archaeology Method and Theory,Laboratory
19,ANT 401,01,Anthropological Theory,"GER - Writing :: WR (Writing-Research Intensive), IDS :: Africana Studies, IDS :: Anthropology",SOC 101 OR ANT 101,empty,Lecture
20,ART 111,01,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
21,ART 111,02,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
22,ART 111,03,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
23,ART 111,04,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
24,ART 112,01,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
25,ART 112,02,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
26,ART 113,01,Introduction to Painting,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
27,ART 124,02,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
28,ART 132,01,Histories of Art I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
29,ART 133,01,Histories of Art II,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
30,ART 200,01,Ceramics I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
31,ART 200,02,Ceramics I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
32,ART 204,01,Painting II,empty,empty,empty,Studio
33,ART 205,01,Darkroom Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
34,ART 206,01,Color and Digital Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
35,ART 221,01,Graphic Design II,empty,ART 111 Visual Language I,empty,Studio
36,ART 259,01,History of Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Lecture
37,ART 265,01,Museums Are Not Neutral,GER - Writing :: WR (Writing-Research Intensive),empty,empty,Lecture
38,ART 303,01,Photographic Essay,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),ART 205 or ART 206 or instructor permission,empty,Studio
39,ART 320,01,Brand Design,empty,empty,empty,Studio
40,ART 330,01,Art Criticism,empty,empty,empty,Lecture
41,ART 501,01,Independent Study,empty,Instructor permission required,empty,Independent Study
42,ART 501,02,Independent Study,empty,Instructor permission required,empty,Independent Study
43,ART 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
44,ART 503,02,Individualized Internship,empty,Instructor permission required,empty,Independent Study
45,AST 240,01,Archaeology of the Silk Road,"GER - CORE :: HA (Historical Analysis), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
46,AST 470,01,Seminar in Asian Studies,"GER - Writing :: WR (Writing-Research Intensive), IDS :: Asian Studies, IDS :: Chinese Studies, IDS :: Japanese Studies",Instructor Permission Required,empty,Seminar
47,BIO 075,01,Seminar in Biology,empty,empty,empty,Seminar
48,BIO 075,02,Seminar in Biology,empty,empty,empty,Seminar
49,BIO 111,01,Foundations of Biology,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), IDS :: Neuroscience",empty,BIO 111-01L - Foundations of Biology,Lecture
50,BIO 111,01L,Foundations of Biology,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), IDS :: Neuroscience",empty,BIO 111-01 - Foundations of Biology,Laboratory
51,BIO 111,02,Foundations of Biology,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), IDS :: Neuroscience",empty,BIO 111-02L - Foundations of Biology,Lecture
52,BIO 111,02L,Foundations of Biology,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), IDS :: Neuroscience",empty,BIO 111-02 - Foundations of Biology,Laboratory
53,BIO 111,04,Foundations of Biology,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), IDS :: Neuroscience",empty,BIO 111-04L - Foundations of Biology,Lecture
54,BIO 111,04L,Foundations of Biology,"GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types), IDS :: Neuroscience",empty,BIO 111-04 - Foundations of Biology,Laboratory
55,BIO 210,01,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-01L - Genetics,Lecture
