,CourseCode,CourseTitle,CourseTags,InstructionalFormat,Semester
1262,HSC 101,Wellness Concepts,MB,Lecture,4_Fall-24
1263,HSC 101,Wellness Concepts,MB,Laboratory,4_Fall-24
1264,HSC 101,Wellness Concepts,MB,Lecture,4_Fall-24
1265,HSC 101,Wellness Concepts,MB,Lecture,4_Fall-24
1266,HSC 101,Wellness Concepts,MB,Lecture,4_Fall-24
1267,HSC 101,Wellness Concepts,MB,Laboratory,4_Fall-24
1268,HSC 101,Wellness Concepts,MB,Laboratory,4_Fall-24
1269,HSC 101,Wellness Concepts,MB,Lecture,5_Spring-25
1270,HSC 101,Wellness Concepts,MB,Lecture,0_Fall-22
1271,HSC 102,Mindfulness for Stress Reduction and Wellness,MB,Laboratory,5_Spring-25
1272,HSC 102,Mindfulness for Stress Reduction and Wellness,MB,Laboratory,3_Spring-24
1273,HSC 102,Mindfulness for Stress Reduction and Wellness,MB,Lecture,0_Fall-22
1274,HSC 102,Mindfulness for Stress Reduction and Wellness,MB,Lecture,5_Spring-25
1275,HSC 201,Research and Evaluation in Health Sciences,HB,Laboratory,4_Fall-24
1276,HSC 201,Research and Evaluation in Health Sciences,HB,Lecture,3_Spring-24
1277,HSC 201,Research and Evaluation in Health Sciences,HB,Laboratory,3_Spring-24
1278,HSC 201,Research and Evaluation in Health Sciences,HB,Lecture,4_Fall-24
1279,HSC 201,Research and Evaluation in Health Sciences,HB,Lecture,0_Fall-22
1280,HSC 201,Research and Evaluation in Health Sciences,HB,Laboratory,0_Fall-22
1296,HSC 221,Motor Development,HB,Laboratory,0_Fall-22
1297,HSC 221,Motor Development,HB,Lecture,0_Fall-22
1304,HSC 304,Environmental Health,NE,Lecture,2_Fall-23
1305,HSC 305,Global Public Health (Survey in Global Public Health),"WC, WR",Lecture,2_Fall-23
1306,HSC 305,Global Public Health (Survey in Global Public Health),"WC, WR",Lecture,5_Spring-25
1307,HSC 305,Global Public Health (Survey in Global Public Health),"WC, WR",Lecture,1_Spring-23
1308,HSC 305,Global Public Health (Survey in Global Public Health),"WC, WR",Lecture,1_Spring-23
1311,HSC 308,Exercise Epidemiology,WR,Lecture,5_Spring-25
1312,HSC 308,Exercise Epidemiology,WR,Lecture,2_Fall-23
1313,HSC 311,Physiology of Exercise,NWL,Laboratory,4_Fall-24
1314,HSC 311,Physiology of Exercise,NWL,Laboratory,1_Spring-23
1315,HSC 311,Physiology of Exercise,NWL,Lecture,4_Fall-24
1316,HSC 311,Physiology of Exercise,NWL,Lecture,1_Spring-23
1317,HSC 311,Physiology of Exercise,NWL,Lecture,0_Fall-22
1318,HSC 311,Physiology of Exercise,NWL,Laboratory,0_Fall-22
1319,HSC 311,Physiology of Exercise,NWL,Lecture,2_Fall-23
1320,HSC 311,Physiology of Exercise,NWL,Lecture,2_Fall-23
1321,HSC 311,Physiology of Exercise,NWL,Laboratory,2_Fall-23
1322,HSC 311,Physiology of Exercise,NWL,Laboratory,2_Fall-23
1328,HSC 323,Kinesiology,NWL,Laboratory,1_Spring-23
1329,HSC 323,Kinesiology,NWL,Lecture,3_Spring-24
1330,HSC 323,Kinesiology,NWL,Laboratory,3_Spring-24
1331,HSC 323,Kinesiology,NWL,Laboratory,3_Spring-24
1332,HSC 323,Kinesiology,NWL,Lecture,4_Fall-24
1333,HSC 323,Kinesiology,NWL,Laboratory,4_Fall-24
1334,HSC 323,Kinesiology,NWL,Lecture,1_Spring-23
1335,HSC 323,Kinesiology,NWL,Laboratory,1_Spring-23
1336,HSC 323,Kinesiology,NWL,Lecture,1_Spring-23
1353,HSC 451,Biomechanics,WR,Lecture,2_Fall-23
1354,HSC 451,Biomechanics,WR,Lecture,0_Fall-22
1371,HST 102,Europe in the Medieval World,HA,Lecture,2_Fall-23
1372,HST 104,Europe in the Modern World,HA,Lecture,0_Fall-22
1373,HST 104,Europe in the Modern World,HA,Lecture,4_Fall-24
1374,HST 104,Europe in the Modern World,HA,Lecture,1_Spring-23
1375,HST 104,Europe in the Modern World,HA,Lecture,2_Fall-23
1376,HST 111,Passages in the Ancient and Medieval World,HA,Lecture,2_Fall-23
1377,HST 111,Passages in the Ancient and Medieval World,"HA, WC",Lecture,5_Spring-25
1378,HST 111,Passages in the Ancient and Medieval World,HA,Lecture,2_Fall-23
1379,HST 112,Passages in the Early Modern World,"HA, IEJ, WC",Lecture,5_Spring-25
1380,HST 112,Passages in the Early Modern World,"HA, IEJ, WC",Lecture,5_Spring-25
1381,HST 112,Passages in the Early Modern World,HA,Lecture,1_Spring-23
1382,HST 112,Passages in the Early Modern World,"HA, IEJ",Lecture,3_Spring-24
1383,HST 112,Passages in the Early Modern World,"HA, IEJ, WC",Lecture,4_Fall-24
1384,HST 113,Passages in the Modern World,"HA, WC",Lecture,4_Fall-24
1385,HST 113,Passages in the Modern World,HA,Lecture,0_Fall-22
1386,HST 121,North America and the World to 1877,HA,Lecture,2_Fall-23
1387,HST 121,Early North America to 1877,HA,Lecture,1_Spring-23
1388,HST 121,North America and the World to 1877,HA,Lecture,4_Fall-24
1389,HST 122,United States and the World since 1877,HA,Lecture,0_Fall-22
1390,HST 122,United States and the World since 1877,HA,Lecture,4_Fall-24
1391,HST 122,United States and the World since 1877,HA,Lecture,1_Spring-23
1392,HST 124,War  Military and Society in American History,HA,Lecture,5_Spring-25
1393,HST 124,War  Military and Society in American History,HA,Lecture,2_Fall-23
1394,HST 141,Latin America in the Early Modern World,"HA, WC",Lecture,3_Spring-24
1395,HST 141,Latin America in the Early Modern World,"HA, WC",Lecture,5_Spring-25
1396,HST 152,Middle East in the Early Modern World,"HA, WC",Lecture,0_Fall-22
1397,HST 152,Middle East in the Early Modern World,"HA, WC",Lecture,2_Fall-23
1398,HST 153_,Middle East in the Modern World,"HA, WC",Lecture,3_Spring-24
1399,HST 153_,Middle East in the Modern World,"HA, WC",Lecture,3_Spring-24
1400,HST 156,India in the Modern World,"HA, WC",Lecture,0_Fall-22
1401,HST 156,India in the Modern World,"HA, WC",Lecture,0_Fall-22
1402,HST 161,Japan in the Ancient and Early Modern World,"HA, WC",Lecture,0_Fall-22
1403,HST 162,Japan in the Modern World,"HA, WC",Lecture,1_Spring-23
1404,HST 162,Japan in the Modern World,"HA, WC",Lecture,1_Spring-23
1405,HST 166,China in the Modern World,"HA, WC",Lecture,3_Spring-24
1411,HST 211,Twentieth Century Germany,WR,Lecture,0_Fall-22
1413,HST 221,The American Revolution,WR,Lecture,1_Spring-23
1423,HST 254,Gender and Sexuality in the Middle East,IEJ,Lecture,4_Fall-24
1440,HST 330,The Frontier and the American West,WR,Lecture,1_Spring-23
1442,HST 359,Travel Study in the United Kingdom and Ireland,"HA, WC",Lecture,1_Spring-23
1454,HUM 101,Studies in Humanities I,UQ,Lecture,0_Fall-22
1455,HUM 102,Studies in Humanities II,"TA, IEJ, WC",Lecture,1_Spring-23
1483,JPN 201,Intermediate Japanese I,FL,Lecture,2_Fall-23
1484,JPN 201,Intermediate Japanese I,FL,Lecture,0_Fall-22
1485,JPN 202,Intermediate Japanese II,FL,Lecture,1_Spring-23
1486,JPN 202,Intermediate Japanese II,FL,Lecture,5_Spring-25
1497,LNG 210,General Linguistics,HB,Lecture,4_Fall-24
1498,LNG 210,General Linguistics,HB,Lecture,3_Spring-24
1499,LNG 220,Linguistic Analysis,"HB, WR",Lecture,2_Fall-23
1503,LNG 260,The Bilingual Mind,"HB, WR",Lecture,5_Spring-25
1512,LTN 201,Intermediate Latin I,FL,Lecture,0_Fall-22
1513,LTN 305,Latin: Analytical Approaches (Apuleius),TA,Lecture,2_Fall-23
1514,LTN 305,Latin: Analytical Approaches (Manilius),TA,Lecture,5_Spring-25
1515,LTN 315,Latin: Translation & Research Methods (Juvenal's Satires),WR,Lecture,3_Spring-24
1516,LTN 315,"Latin: Translation & Research Methods (Seneca, De Brevitate Vitae)",WR,Lecture,0_Fall-22
1517,LTN 325,Latin: Intensive Readings (Martial and Statius),"FL, TA",Lecture,4_Fall-24
1518,LTN 325,Latin: Intensive Readings (Horace and Propertius),TA,Lecture,1_Spring-23
1521,MLL 210,German Language Islands,HB,Lecture,3_Spring-24
1522,MLL 236,Nazi Cinema and Culture,VP,Discussion,3_Spring-24
1523,MLL 236,Nazi Cinema and Culture,VP,Lecture,1_Spring-23
1524,MLL 360,Latin America Through Film,"VP, WC",Discussion,5_Spring-25
1525,MLL 360,Latin America Through Film,"VP, WC",Lecture,2_Fall-23
1526,MLL 360,Latin America Through Film,"VP, WC",Discussion,2_Fall-23
1568,MTH 110,Finite Mathematics,MR,Lecture,4_Fall-24
1569,MTH 115,Ideas in Mathematics,MR,Lecture,2_Fall-23
1570,MTH 115,Ideas in Mathematics,MR,Lecture,4_Fall-24
1571,MTH 116,Introduction to Cryptology,MR,Lecture,0_Fall-22
1572,MTH 120,Introduction to Statistics,MR,Lecture,3_Spring-24
1573,MTH 120,Introduction to Statistics,MR,Lecture,3_Spring-24
1574,MTH 120,Introduction to Statistics,MR,Lecture,0_Fall-22
1575,MTH 120,Introduction to Statistics,MR,Lecture,0_Fall-22
1576,MTH 120,Introduction to Statistics,MR,Lecture,0_Fall-22
1577,MTH 120,Introduction to Statistics,MR,Lecture,0_Fall-22
1578,MTH 120,Introduction to Statistics,MR,Lecture,0_Fall-22
1579,MTH 120,Introduction to Statistics,MR,Lecture,3_Spring-24
1580,MTH 120,Introduction to Statistics,MR,Lecture,3_Spring-24
1581,MTH 145,Calculus for Management  Life and Social Sciences,MR,Lecture,2_Fall-23
1582,MTH 145,Calculus for Management  Life and Social Sciences,MR,Lecture,3_Spring-24
1583,MTH 145,Calculus for Management  Life and Social Sciences,MR,Lecture,0_Fall-22
1584,MTH 145,Calculus for Management  Life and Social Sciences,MR,Lecture,0_Fall-22
1585,MTH 145,Calculus for Management  Life and Social Sciences,MR,Lecture,4_Fall-24
1586,MTH 150,Analytic Geometry and Calculus I,MR,Lecture,1_Spring-23
1587,MTH 150,Analytic Geometry and Calculus I,MR,Lecture,5_Spring-25
1588,MTH 150,Analytic Geometry and Calculus I,MR,Lecture,5_Spring-25
1589,MTH 150,Analytic Geometry and Calculus I,MR,Lecture,0_Fall-22
1592,MTH 151,Analytic Geometry and Calculus II,MR,Lecture,3_Spring-24
1594,MTH 151,Analytic Geometry and Calculus II,MR,Lecture,3_Spring-24
1597,MTH 245,Statistical Methods I with R,MR,Lecture,5_Spring-25
1598,MTH 245,Statistics and Data Analysis in R,MR,Lecture,1_Spring-23
1599,MTH 245,Statistics and Data Analysis in R,MR,Lecture,1_Spring-23
1600,MTH 245,Statistical Methods I with R,MR,Lecture,5_Spring-25
1601,MTH 245,Statistical Methods I with R,MR,Lecture,4_Fall-24
1604,MTH 260,Transition to Higher Mathematics,WR,Lecture,2_Fall-23
1649,MUS 101,Introduction to Music,VP,Lecture,1_Spring-23
1650,MUS 101,Introduction to Music,VP,Lecture,2_Fall-23
1651,MUS 101,Introduction to Music,VP,Lecture,0_Fall-22
1652,MUS 102,Introduction to Jazz,VP,Lecture,5_Spring-25
1653,MUS 103,Introduction to American Folk and Country Music,VP,Lecture,3_Spring-24
1706,MUS 220,World Music,WC,Lecture,1_Spring-23
1707,MUS 220,World Music,"IEJ, WC",Lecture,5_Spring-25
1714,MUS 320,Music History II,"HA, WR",Lecture,0_Fall-22
1715,MUS 320,Music History II,"HA, WR",Lecture,4_Fall-24
2027,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2028,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2029,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2030,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2031,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2032,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2033,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2034,PHL 101,Introduction to Philosophy,UQ,Lecture,5_Spring-25
2036,PHL 208,Ethics,TA,Lecture,1_Spring-23
2037,PHL 208,Ethics,TA,Lecture,3_Spring-24
2038,PHL 210,Ancient Philosophy,TA,Lecture,4_Fall-24
2039,PHL 211,Modern Philosophy,TA,Lecture,5_Spring-25
2040,PHL 211,Modern Philosophy,TA,Lecture,3_Spring-24
2043,PHL 217,Philosophy of Horror,TA,Lecture,0_Fall-22
2044,PHL 217,Philosophy of Horror,TA,Lecture,4_Fall-24
2045,PHL 220,Realizing Bodymind,"MB, WC",Lecture,0_Fall-22
2046,PHL 230,Indian Philosophy,WC,Lecture,1_Spring-23
2047,PHL 240,Chinese Philosophy,WC,Lecture,1_Spring-23
2048,PHL 245,Environmental Ethics,NE,Lecture,3_Spring-24
2049,PHL 250,Japanese Philosophy,WC,Lecture,2_Fall-23
2050,PHL 260,Latin American Philosophy,WC,Lecture,0_Fall-22
2051,PHL 266,God  Death  and the Meaning of Life,TA,Lecture,2_Fall-23
2052,PHL 270,Africana Philosophies,WC,Lecture,5_Spring-25
2053,PHL 275,Aesthetics,TA,Lecture,4_Fall-24
2054,PHL 276,Philosophy of Food,TA,Laboratory,4_Fall-24
2055,PHL 276,Philosophy of Food,TA,Lecture,4_Fall-24
2056,PHL 276,Philosophy of Food,TA,Laboratory,2_Fall-23
2057,PHL 276,Philosophy of Food,TA,Lecture,0_Fall-22
2058,PHL 302,Clinical Medical Ethics,UQ,Lecture,2_Fall-23
2059,PHL 304,Ethics of Globalization,NE,Lecture,3_Spring-24
2061,PHL 310,Social and Political Philosophy,TA,Lecture,5_Spring-25
2062,PHL 315,Nineteenth Century Philosophy,TA,Lecture,4_Fall-24
2063,PHL 317,Twentieth Century Philosophy,TA,Lecture,5_Spring-25
2064,PHL 318,Philosophy of Law,WR,Lecture,4_Fall-24
2065,PHL 320,Critical Philosophy of Race,TA,Lecture,1_Spring-23
2067,PHL 333,Philosophy of Taste,WR,Lecture,3_Spring-24
2088,PHY 101,Physics for Non-Science Majors,NW,Lecture,0_Fall-22
2089,PHY 105,Descriptive Astronomy,NWL,Lecture,4_Fall-24
2090,PHY 105,Descriptive Astronomy,NWL,Laboratory,0_Fall-22
2091,PHY 105,Descriptive Astronomy,NWL,Lecture,0_Fall-22
2092,PHY 105,Descriptive Astronomy,NWL,Laboratory,4_Fall-24
2093,PHY 111,General Physics I,NWL,Laboratory,3_Spring-24
2094,PHY 111,General Physics I,NWL,Laboratory,0_Fall-22
2095,PHY 111,General Physics I,NWL,Lecture,0_Fall-22
2096,PHY 111,General Physics I,NWL,Lecture,0_Fall-22
2097,PHY 111,General Physics I,NWL,Lecture,3_Spring-24
2098,PHY 111,General Physics I,NWL,Laboratory,3_Spring-24
2099,PHY 111,General Physics I,NWL,Laboratory,3_Spring-24
2100,PHY 111,General Physics I,NWL,Laboratory,2_Fall-23
2101,PHY 111,General Physics I,NWL,Lecture,0_Fall-22
2102,PHY 112,General Physics II,NWL,Lecture,4_Fall-24
2103,PHY 112,General Physics II,NWL,Laboratory,1_Spring-23
2104,PHY 112,General Physics II,NWL,Laboratory,1_Spring-23
2105,PHY 112,General Physics II,NWL,Lecture,1_Spring-23
2106,PHY 112,General Physics II,NWL,Laboratory,1_Spring-23
2107,PHY 112,General Physics II,NWL,Lecture,1_Spring-23
2108,PHY 112,General Physics II,NWL,Laboratory,1_Spring-23
2109,PHY 112,General Physics II,NWL,Laboratory,3_Spring-24
2123,PHY 451,Astrophysics,WR,Lecture,1_Spring-23
2128,POL 101,Introduction to American Government,HB,Lecture,4_Fall-24
2129,POL 101,Introduction to American Government,HB,Lecture,0_Fall-22
2130,POL 101,Introduction to American Government,HB,Lecture,4_Fall-24
2131,POL 101,Introduction to American Government,HB,Lecture,3_Spring-24
2132,POL 102,Introduction to World Politics,HB,Lecture,5_Spring-25
2133,POL 102,Introduction to World Politics,HB,Lecture,2_Fall-23
2134,POL 102,Introduction to World Politics,HB,Lecture,5_Spring-25
2135,POL 102,Introduction to World Politics,HB,Lecture,5_Spring-25
2136,POL 103,Introduction to Political Thought,UQ,Lecture,1_Spring-23
2137,POL 103,Introduction to Political Thought,UQ,Lecture,1_Spring-23
2138,POL 103,Introduction to Political Thought,UQ,Lecture,4_Fall-24
2139,POL 103,Introduction to Political Thought,UQ,Lecture,4_Fall-24
2140,POL 103,Introduction to Political Thought,UQ,Lecture,4_Fall-24
2141,POL 103,Introduction to Political Thought,UQ,Lecture,4_Fall-24
2142,POL 103,Introduction to Political Thought,UQ,Lecture,3_Spring-24
2143,POL 150,Introduction to Political Analysis,"HB, WR",Lecture,2_Fall-23
2144,POL 150,Introduction to Political Analysis,"HB, WR",Discussion,2_Fall-23
2145,POL 150,Introduction to Political Analysis,"HB, WR",Lecture,2_Fall-23
2146,POL 150,Introduction to Political Analysis,"HB, WR",Discussion,5_Spring-25
2147,POL 150,Introduction to Political Analysis,"HB, WR",Lecture,1_Spring-23
2148,POL 150,Introduction to Political Analysis,"HB, WR",Discussion,0_Fall-22
2149,POL 150,Introduction to Political Analysis,"HB, WR",Lecture,0_Fall-22
2150,POL 150,Introduction to Political Analysis,"HB, WR",Lecture,1_Spring-23
2151,POL 150,Introduction to Political Analysis,"HB, WR",Discussion,3_Spring-24
2152,POL 150,Introduction to Political Analysis,"HB, WR",Lecture,3_Spring-24
2153,POL 200,Native American Politics,IEJ,Lecture,5_Spring-25
2154,POL 203,Judicial Processes and United States Supreme Court,TA,Lecture,2_Fall-23
2155,POL 204,Civil Rights and the United States Constitution,TA,Lecture,3_Spring-24
2160,POL 212,Women and Politics,IEJ,Lecture,4_Fall-24
2162,POL 214,Environmental Law,NE,Lecture,1_Spring-23
2164,POL 217,Pursuing Justice: the Fight to Kill Jim Crow,IEJ,Seminar,2_Fall-23
2166,POL 220,Political Psychology,UQ,Lecture,3_Spring-24
2168,POL 222,Politics of Russia,WC,Lecture,3_Spring-24
2169,POL 223,Politics of Developing Nations,WC,Lecture,2_Fall-23
2170,POL 224,Politics of Africa,WC,Lecture,5_Spring-25
2171,POL 225,Politics of the Middle East,WC,Lecture,4_Fall-24
2172,POL 226,Politics of China,"HB, WC",Lecture,2_Fall-23
2173,POL 226,Politics of China,"HB, WC",Lecture,0_Fall-22
2175,POL 229,Politics of Asia,WC,Lecture,3_Spring-24
2177,POL 231,Democratization in the Mediterranean,HB,Lecture,1_Spring-23
2178,POL 232,Islam and Politics,WC,Lecture,3_Spring-24
2184,POL 254,Foreign Policy Analysis,HB,Lecture,4_Fall-24
2187,POL 259,The Arab-Israeli Conflict,"IEJ, WC",Lecture,5_Spring-25
2188,POL 273,American Political Thought,TA,Lecture,4_Fall-24
2201,POL 375,Issues in Political Thought (The Revolutionary Spirit and the Human Future),TA,Lecture,1_Spring-23
2202,POL 375,Issues in Political Thought (Anti-Colonial Political Thought),TA,Lecture,5_Spring-25
2209,PSY 111,General Psychology,HB,Lecture,1_Spring-23
2210,PSY 111,General Psychology,HB,Lecture,1_Spring-23
2211,PSY 111,Introduction to Psychology,HB,Lecture,4_Fall-24
2212,PSY 111,Introduction to Psychology,HB,Lecture,4_Fall-24
2213,PSY 111,Introduction to Psychology,HB,Lecture,4_Fall-24
2214,PSY 111,Introduction to Psychology,HB,Lecture,3_Spring-24
2215,PSY 111,Introduction to Psychology,HB,Lecture,3_Spring-24
2216,PSY 111,General Psychology,HB,Lecture,1_Spring-23
2217,PSY 111,General Psychology,HB,Lecture,1_Spring-23
2218,PSY 111,General Psychology,HB,Lecture,0_Fall-22
2219,PSY 201,Research Methods and Statistics I,"HB, WR",Laboratory,4_Fall-24
2220,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,3_Spring-24
2221,PSY 201,Research Methods and Statistics I,"HB, WR",Laboratory,5_Spring-25
2222,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,5_Spring-25
2223,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,5_Spring-25
2224,PSY 201,Research Methods and Statistics I,"HB, WR",Laboratory,5_Spring-25
2225,PSY 201,Research Methods and Statistics I,"HB, WR",Laboratory,4_Fall-24
2226,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,2_Fall-23
2227,PSY 201,Research Methods and Statistics I,"HB, WR",Laboratory,0_Fall-22
2228,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,4_Fall-24
2229,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,4_Fall-24
2230,PSY 201,Research Methods and Statistics I,"HB, WR",Laboratory,4_Fall-24
2231,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,0_Fall-22
2232,PSY 201,Research Methods and Statistics I,"HB, WR",Lecture,4_Fall-24
2233,PSY 201,Research Methods and Statistics I,"HB, WR",Laboratory,0_Fall-22
2252,PSY 211,Childhood and Adolescence,HB,Lecture,1_Spring-23
2253,PSY 211,Childhood and Adolescence,HB,Lecture,5_Spring-25
2254,PSY 212,Social Psychology,HB,Lecture,5_Spring-25
2260,PSY 217,Child Psychopathology,IEJ,Lecture,3_Spring-24
2261,PSY 217,Child Psychopathology,IEJ,Lecture,4_Fall-24
2264,PSY 219,"Stereotyping, Prejudice, & Discrimination",IEJ,Lecture,5_Spring-25
2269,PSY 320,Introduction to Biopsychology,NWL,Laboratory,3_Spring-24
2270,PSY 320,Introduction to Biopsychology,NWL,Lecture,3_Spring-24
2271,PSY 320,Introduction to Biopsychology,NWL,Laboratory,5_Spring-25
2272,PSY 320,Introduction to Biopsychology,NWL,Lecture,5_Spring-25
2281,PSY 328,Sensation and Perception,NWL,Lecture,5_Spring-25
2282,PSY 328,Sensation and Perception,NWL,Laboratory,5_Spring-25
2283,PSY 328,Sensation and Perception,NWL,Lecture,3_Spring-24
2284,PSY 328,Sensation and Perception,NWL,Laboratory,3_Spring-24
2312,PSY RSRCH,Research Methods and Statistics,"HB, WR",Laboratory,1_Spring-23
2313,PSY RSRCH,Research Methods and Statistics,"HB, WR",Lecture,1_Spring-23
2314,PSY RSRCH,Research Methods and Statistics,"HB, WR",Laboratory,1_Spring-23
2315,PSY RSRCH,Research Methods and Statistics,"HB, WR",Lecture,1_Spring-23
2316,PSY RSRCH,Research Methods and Statistics,"HB, WR",Laboratory,1_Spring-23
2317,PSY RSRCH,Research Methods and Statistics,"HB, WR",Lecture,1_Spring-23
2716,REL 101,Introduction to Religion,UQ,Lecture,3_Spring-24
2717,REL 110,Religions of the World,WC,Lecture,4_Fall-24
2718,REL 110,Religions of the World,WC,Lecture,5_Spring-25
2719,REL 111,Bible and Ultimate Meaning,UQ,Lecture,5_Spring-25
2720,REL 111,Bible and Ultimate Meaning,UQ,Lecture,5_Spring-25
2721,REL 111,Bible and Ultimate Meaning,UQ,Lecture,5_Spring-25
2722,REL 125,Religions of the World,WC,Lecture,1_Spring-23
2723,REL 125,Religions of the World,WC,Lecture,1_Spring-23
2724,REL 125,Religions of the World,WC,Lecture,1_Spring-23
2725,REL 125,Religions of the World,WC,Lecture,0_Fall-22
2726,REL 210,Introduction to the Old Testament,TA,Lecture,2_Fall-23
2727,REL 210,Introduction to the Old Testament,TA,Lecture,5_Spring-25
2728,REL 211,New Testament and Early Christianity,TA,Lecture,2_Fall-23
2729,REL 211,New Testament and Early Christianity,TA,Lecture,0_Fall-22
2730,REL 218,The Bible and Popular Culture,UQ,Lecture,5_Spring-25
2731,REL 220,Introduction to Judaism,UQ,Lecture,2_Fall-23
2732,REL 221,Native American Religions,"UQ, IEJ, WC",Lecture,4_Fall-24
2733,REL 221,Native American Religions,"UQ, IEJ, WC",Lecture,4_Fall-24
2734,REL 221,Native American Religions,"UQ, WC",Lecture,0_Fall-22
2735,REL 222,Introduction to Islam,"UQ, WC",Lecture,1_Spring-23
2736,REL 222,Introduction to Islam,"UQ, WC",Lecture,2_Fall-23
2737,REL 222,Introduction to Islam,"UQ, WC",Lecture,0_Fall-22
2738,REL 223,Hindu Cultures and Religious Worlds,"UQ, WC",Lecture,0_Fall-22
2739,REL 224,Introduction to Buddhism,"UQ, WC",Lecture,2_Fall-23
2740,REL 224,Introduction to Buddhism,"UQ, WC",Lecture,2_Fall-23
2741,REL 228,History of God,UQ,Lecture,3_Spring-24
2742,REL 229,Sufi Islam,"UQ, WC",Lecture,5_Spring-25
2743,REL 230,Religion in America,HA,Lecture,2_Fall-23
2744,REL 230,Religion in America,"HA, IEJ",Lecture,5_Spring-25
2745,REL 232,African-American Religious History,"HA, IEJ",Lecture,2_Fall-23
2746,REL 235,History of Christianity to 600 CE,HA,Lecture,3_Spring-24
2747,REL 236,History of Christianity in the Middle Ages,HA,Lecture,5_Spring-25
2748,REL 237,Reformation and Modernity,HA,Lecture,1_Spring-23
2750,REL 247,God  War and Empire,UQ,Lecture,0_Fall-22
2751,REL 248,Religion and the Environment,"UQ, NE",Lecture,1_Spring-23
2752,REL 251,Jerusalem: One City  Three Faiths,HA,Lecture,1_Spring-23
2753,REL 252,Judaism in the Time of Jesus,HA,Lecture,3_Spring-24
2754,REL 254,Religion and Science Fiction,UQ,Lecture,0_Fall-22
2755,REL 260,Religion and Literature,TA,Lecture,4_Fall-24
2756,REL 262,Religion and Art,"VP, WC",Lecture,4_Fall-24
2757,REL 262,Religion and Art,"VP, WC",Lecture,2_Fall-23
2758,REL 262,Religion and Art,"VP, WC",Lecture,3_Spring-24
2759,REL 262,Religion and Art,"VP, WC",Lecture,3_Spring-24
2760,REL 263,Murder Mystery and Mayhem,TA,Lecture,2_Fall-23
2764,REL 310,Old Testament Prophets,HA,Lecture,5_Spring-25
2765,REL 317,History of Bible Translation,WR,Lecture,1_Spring-23
2766,REL 318,Jesus and the Gospels,TA,Lecture,2_Fall-23
2767,REL 319,Paul's Life and Thought,TA,Lecture,1_Spring-23
2768,REL 320,Sexuality and Gender in Buddhism,"IEJ, WC",Lecture,3_Spring-24
2769,REL 322,Muhammad and the Qur'an,TA,Lecture,2_Fall-23
2770,REL 328,Religions in Japan,"UQ, WC",Lecture,1_Spring-23
2771,REL 328,Religions in Japan,"UQ, WC",Lecture,5_Spring-25
2772,REL 331,History and Theology of Christian Worship,UQ,Lecture,4_Fall-24
2773,REL 332,Wealth and Poverty in Christian Tradition,UQ,Lecture,3_Spring-24
2774,REL 333,Middle Eastern Christianity: History and Worship,"UQ, WC",Lecture,5_Spring-25
2775,REL 339,Dante in Translation,"UQ, WR",Lecture,0_Fall-22
2776,REL 351,Encountering Texts on Travel Study,TA,Lecture,1_Spring-23
2777,REL 363,Sexuality and Christian Theology,UQ,Lecture,3_Spring-24
2778,REL 364,Religion and Art in Christianity  Judaism and Islam,"VP, WC",Lecture,1_Spring-23
2782,REL 475,Senior Seminar,WR,Seminar,0_Fall-22
2783,SCI 110,"Big Problems, Big Ideas: The STEM Perspective","IEJ, NE",Lecture,2_Fall-23
2784,SCI 110,Grand Challenges in STEM,"IEJ, NE",Lecture,4_Fall-24
2799,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,1_Spring-23
2800,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,2_Fall-23
2801,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,5_Spring-25
2802,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,5_Spring-25
2803,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,5_Spring-25
2804,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,2_Fall-23
2805,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,5_Spring-25
2806,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,4_Fall-24
2807,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,3_Spring-24
2808,SOC 101,Introduction to Sociology,"HB, IEJ",Lecture,0_Fall-22
2809,SOC 201,Social Problems,HB,Lecture,0_Fall-22
2810,SOC 201,Social Problems,HB,Lecture,1_Spring-23
