,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
0,ACC 120,01,Principles of Financial and Managerial Accounting,empty,PRQ  - Instructor Permission Required,empty,Lecture
1,ACC 120,03,Principles of Financial and Managerial Accounting,empty,Instructor Permission Required,empty,Lecture
2,ACC 120,05,Principles of Financial and Managerial Accounting,empty,Instructor Permission Required,empty,Lecture
3,ACC 301,01,Principles of Managerial Accounting,empty,(ACC 111) AND (declared BUS major) AND (no credit for ACC 120),empty,Lecture
4,ACC 312,01,Intermediate Accounting II,empty,ACC 311 Intermediate Financial Accounting I,empty,Lecture
5,ACC 340,01,Federal Income Taxation,empty,ACC 111 or ACC 120,empty,Lecture
6,ACC 350,01,Accounting Information Systems,empty,(ACC 111 or ACC 120) AND (Declared Accounting Major OR Instructor Permission),empty,Lecture
7,ANT 101,01,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
8,ANT 101,02,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
9,ANT 101,03,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
10,ANT 101,04,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
11,ANT 105,01,Introduction to Archaeology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
12,ANT 105,02,Introduction to Archaeology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
13,ANT 204,01,Modern Japanese Society through Films,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology, IDS :: Asian Studies, IDS :: Film Studies, IDS :: Japanese Studies",empty,empty,Lecture
14,ANT 230,01,Biological Anthropology,"GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Anthropology",empty,ANT 230-01L - Biological Anthropology,Lecture
15,ANT 230,01L,Biological Anthropology,"GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Anthropology",empty,ANT 230-01 - Biological Anthropology,Laboratory
16,ANT 302,01,Anthropology of Race and Ethnicity,"GER - CORE :: HB (Empirical Study of Human Behavior), IDS :: Africana Studies, IDS :: Anthropology",empty,empty,Lecture
17,ART 111,01,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
18,ART 111,02,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
19,ART 111,03,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
20,ART 112,01,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
21,ART 112,02,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
22,ART 113,01,Introduction to Painting,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
23,ART 124,01,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
24,ART 124,02,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
25,ART 124,03,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
26,ART 132,01,Histories of Art I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
27,ART 133,01,Histories of Art II,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
28,ART 200,01,Introduction to Ceramics,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
29,ART 201,01,Themes in Ceramics,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),ART 112 OR ART 200,empty,Studio
30,ART 205,01,Darkroom Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
31,ART 206,01,Digital Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
32,ART 207,01,Printmaking,empty,empty,empty,Studio
33,ART 221,01,Editorial Layout and Design,empty,ART 111 Visual Language I,empty,Studio
