CourseCode,Section,CourseTitle,RoomId,Days,Time,Status,InstructorName,Mode,Fill
SPN 120,02,Elementary Spanish II,FUR-118,MWF,8:30 AM - 9:20 AM,Closed,Angeli Leal,In-Person,19/19
SPN 120,03,Elementary Spanish II,FUR-118,MWF,9:30 AM - 10:20 AM,Closed,Angeli Leal,In-Person,19/19
SPN 120,04,Elementary Spanish II,JHN-212,MWF,10:30 AM - 11:20 AM,Open,Santiago Quintero Ayarza,In-Person,16/19
SPN 120,05,Elementary Spanish II,FUR-111,MWF,11:30 AM - 12:20 PM,Open,Eunice Rojas,In-Person,17/19
SPN 201,01,Intermediate Spanish I,FUR-111,MWF,1:30 PM - 2:20 PM,Open,Eunice Rojas,In-Person,18/19
SPN 201,02,Intermediate Spanish I,FUR-230,MWF,8:30 AM - 9:20 AM,Closed,Juan Garrido,In-Person,20/20
SPN 201,03,Intermediate Spanish I,FUR-230,MWF,9:30 AM - 10:20 AM,Closed,Juan Garrido,In-Person,20/20
SPN 201,04,Intermediate Spanish I,FUR-201,MWF,10:30 AM - 11:20 AM,Closed,Stephanie Knouse,In-Person,20/20
SPN 201,05,Intermediate Spanish I,JHN-107,MWF,11:30 AM - 12:20 PM,Open,Lourdes Manye,In-Person,19/20
SPN 201,06,Intermediate Spanish I,FUR-209,MWF,1:30 PM - 2:20 PM,Open,Stephanie Knouse,In-Person,18/20
SPN 201,07,Intermediate Spanish I,FUR-229,MWF,1:30 PM - 2:20 PM,Open,Jeffrey Michno,In-Person,19/20
SPN 208,01,Spanish Language House,FUR-229,MWF,2:30 PM - 3:20 PM,Open,Jeffrey Michno,In-Person,18/20
SPN 215,01,Composition and Conversation,SPN 208-01 - Spanish Language House,,,Open,Mahan Ellison,In-Person,3/24
SPN 215,02,Composition and Conversation,FUR-229,MWF,9:30 AM - 10:20 AM,Closed,Ron Friis,In-Person,15/15
SPN 220,01,Spanish Civilization,MWF | 10:30 AM - 11:20 AM,,,Open,Angelica Lozano-Alonso,In-Person,10/15
SPN 270,01,Introduction to Literary Analysis,FUR-107,MWF,11:30 AM - 12:20 PM,Open,Maria Rippon,In-Person,19/24
SPN 270,02,Introduction to Literary Analysis,FUR-109,MWF,9:30 AM - 10:20 AM,Closed,Santiago Quintero Ayarza,In-Person,15/15
SPN 302,01,Medical Spanish,FUR-201,MWF,1:30 PM - 2:20 PM,Open,Mahan Ellison,In-Person,11/15
SPN 304,01,The Sounds of Spanish,FUR-226,TR,10:00 AM - 11:15 AM,Closed,Maria Rippon,In-Person,16/15
SPN 401,01,Studies in Hispanic Civilization (History Change and Memory in Contemporary Spain),FUR-118,MWF,11:30 AM - 12:20 PM,Closed,Jeffrey Michno,In-Person,15/15
SPN 430,01,"Readings in Spanish Literature (Race, Gender, and Activism in Contemporary Spain)",FUR-207,TR,11:30 AM - 12:45 PM,Open,"Linda Bartlett, Lourdes Manye",In-Person,16/24
SPN 503,01,Individualized Internship,FUR-207,TR,1:00 PM - 2:15 PM,Open,Mahan Ellison,In-Person,16/24
SPN 504,01,Directed Independent Study,SPN 503-01 - Individualized Internship,,,Open,Maria Rippon,In-Person,1/0
SUS 120,01,Principles of Sustainability Science,SPN 504-01 - Directed Independent Study,,,Closed,Santiago Quintero Ayarza,In-Person,1/0
SUS 120,01L,Principles of Sustainability Science,RNK-152,MWF,10:30 AM - 11:20 AM,Closed,Matthew Cohen,In-Person,24/24
SUS 120,02,Principles of Sustainability Science,RNK-152,W,2:30 PM - 5:20 PM,Closed,Matthew Cohen,In-Person,24/24
SUS 120,02L,Principles of Sustainability Science,RNK-152,MWF,1:30 PM - 2:20 PM,Closed,Matthew Cohen,In-Person,24/24
SUS 120,03,Principles of Sustainability Science,RNK-152,T,2:30 PM - 5:20 PM,Closed,Matthew Cohen,In-Person,24/24
SUS 120,03L,Principles of Sustainability Science,RNK-151,TR,1:00 PM - 2:15 PM,Open,Courtney Quinn,In-Person,23/24
SUS 201,01,Making Change Happen,RNK-151,R,2:30 PM - 5:20 PM,Open,Courtney Quinn,In-Person,23/24
SUS 216,01,Sustainability Reporting,SHI-COM,F,2:30 PM - 3:20 PM,Closed,Joy Baker,In-Person,15/12
SUS 216,01L,Sustainability Reporting,RNK-152,MWF,11:30 AM - 12:20 PM,Closed,Courtney Quinn,In-Person,19/18
SUS 220,01,Mineral Resources and Sustainable Development,W | 2:30 PM - 5:20 PM,,,Closed,Courtney Quinn,In-Person,19/18
SUS 220,01L,Mineral Resources and Sustainable Development,PYR-108,MWF,9:30 AM - 10:20 AM,Closed,Emma Hunt,In-Person,16/16
SUS 242,01,Dynamic System Modeling,PYR-108,T,2:30 PM - 5:30 PM,Closed,Emma Hunt,In-Person,16/16
SUS 242,01L,Dynamic System Modeling,PYR-118,M,2:30 PM - 5:20 PM,Closed,Brannon Andersen,In-Person,18/16
SUS 474,01,Senior Capstone,PYR-118,R,2:30 PM - 5:20 PM,Closed,Brannon Andersen,In-Person,18/16
THA 101,01,Introduction to Theatre,RNK-152,TR,10:00 AM - 11:15 AM,Closed,Melissa Ranhofer,In-Person,10/8
THA 101,02,Introduction to Theatre,TPH-MTR,MWF,9:30 AM - 10:20 AM,Open,Jason Adkins,In-Person,16/19
THA 111,01,Introduction to Acting,TPH-MTR,MWF,10:30 AM - 11:20 AM,Closed,Aaron Ballard,In-Person,21/19
THA 116,01,Costume Crafts,TPH-STR,TR,2:30 PM - 3:45 PM,Closed,Jason Adkins,In-Person,16/16
THA 116,01L,Costume Crafts,TPH-CST,TR,11:30 AM - 12:45 PM,Closed,Margaret Caterisano,In-Person,12/12
THA 215,01,Theatrical Scenic Painting,TPH-CST,T,2:30 PM - 5:20 PM,Closed,Margaret Caterisano,In-Person,12/12
THA 310,01,Directing,TPH-CST,MWF,1:30 PM - 2:20 PM,Open,Alan Bryson,In-Person,0/12
THA 310,01L,Directing,TPH-STR,TR,1:00 PM - 2:15 PM,Open,Jason Tromsness,In-Person,8/12
THA 315,01,Scene Design,TPH-STR,M,2:30 PM - 5:20 PM,Open,Jason Tromsness,In-Person,8/12
THA 330,01,Foundations of Musical Theatre (Foundations of Musical Theatre),TPH-ANX,MWF,11:30 AM - 12:20 PM,Open,Rhett Bryson,In-Person,5/12
THA 430,01,Senior Synthesis,TPH-STR,TR,9:15 AM - 11:15 AM,Open,Erica Lustig,In-Person,6/12
THA 501,01,Independent Study,TPH-MTR,R,2:30 PM - 3:45 PM,Open,Maegan Azar,In-Person,7/12
THA 510,01,Theatre Practicum,THA 501-01 - Independent Study,,,Open,Helen Joy,In-Person,1/0
THA 510,02,Theatre Practicum,THA 510-01 - Theatre Practicum,,,Closed,Maegan Azar,In-Person,15/12
THA 510,03,Theatre Practicum,THA 510-02 - Theatre Practicum,,,Closed,Maegan Azar,In-Person,14/12
UNV EXKG-01 - Kansai Gadai University-Japan,,,THA 510-03 - Theatre Practicum,,,Open,Maegan Azar,In-Person,6/12
UNV EXSG-01 - Seinan Gakuin University-Japan,,,UNV EXKG-01 - Kansai Gadai University-Japan,,,Open   |   In-Person   |   2/0,,,
UNV SAAG,01,College Year in Athens,UNV EXSG-01 - Seinan Gakuin University-Japan,,,Open   |   In-Person   |   2/0,,,
UNV SABU-01 - Arcadia Abroad - Australia Bond University,,,UNV SAAG-01 - College Year in Athens,,,Open   |   In-Person   |   2/0,,,
UNV SACI-01 - CIMBA-Northern Italy,,,UNV SABU-01 - Arcadia Abroad - Australia Bond University,,,Open   |   In-Person   |   1/0,,,
UNV SADN-01 - Danish Institute for Study Abroad - Denmark,,,UNV SACI-01 - CIMBA-Northern Italy,,,Open   |   In-Person   |   1/0,,,
UNV SASW-01 - Danish Institute for Study Abroad - Sweden,,,UNV SADN-01 - Danish Institute for Study Abroad - Denmark,,,Open   |   In-Person   |   5/0,,,
UNV SAUO,01,Arcadia Abroad: New Zealand University of Otago,UNV SASW-01 - Danish Institute for Study Abroad - Sweden,,,Open   |   In-Person   |   1/0,,,
UNV TSBZ-01 - Belize-Travel Study,,,UNV SAUO-01 - Arcadia Abroad: New Zealand University of Otago,,,Open   |   In-Person   |   6/0,,,
UNV TSGR-01 - Germany-Travel Study,,,UNV TSBZ-01 - Belize-Travel Study,,,Open,"Ashley Morris, Dennis Haney",In-Person,0/0
UNV TSIT-01 - Italy-Travel Study,,,UNV TSGR-01 - Germany-Travel Study,,,Open   |   In-Person   |   17/0,,,
UNV TSLN-01 - England - Furman in London,,,UNV TSIT-01 - Italy-Travel Study,,,Open   |   In-Person   |   0/0,,,
WGS 101,01,Issues in Women's  Gender and Sexuality Studies,UNV TSLN-01 - England - Furman in London,,,Open   |   In-Person   |   16/0,,,
WGS 250,01,Introduction to Queer Theory and Sexuality Studies,FUR-108,TR,1:00 PM - 2:15 PM,Closed,Kathleen Casey,In-Person,15/15
