CourseCode,Section,CourseTitle,RoomId,Days,Time,Status,InstructorName,Mode,Fill
BIO 503,01,Individualized Internship,BIO 502-03 - Research,,,Open,Travis Perry,In-Person,1/0
BIO 503,02,Individualized Internship,BIO 503-01 - Individualized Internship,,,Open,Ashley Morris,In-Person,1/0
BIO 503,03,Individualized Internship,BIO 503-02 - Individualized Internship,,,Open,Victoria Turgeon,In-Person,1/0
BIO 503,04,Individualized Internship,BIO 503-03 - Individualized Internship,,,Open,Greg Lewis,In-Person,1/0
BIO 503,05,Individualized Internship,BIO 503-04 - Individualized Internship,,,Open,Adi Dubash,In-Person,1/0
BIO 503,06,Individualized Internship,BIO 503-05 - Individualized Internship,,,Open,Grace Freundlich,In-Person,1/0
BIO 506,01,Experience in Research,BIO 503-06 - Individualized Internship,,,Open,David Hollis,In-Person,1/0
BIO 506,02,Experience in Research,BIO 506-01 - Experience in Research,,,Open,Linnea Freeman,In-Person,1/0
BIO 506,03,Experience in Research,BIO 506-02 - Experience in Research,,,Open,Linnea Freeman,In-Person,1/0
BIO 506,04,Experience in Research,BIO 506-03 - Experience in Research,,,Open,Alison Roark,In-Person,1/0
BIO 506,05,Experience in Research,BIO 506-04 - Experience in Research,,,Open,Sri Chandrasekaran,In-Person,0/0
BIO 506,06,Experience in Research,BIO 506-05 - Experience in Research,,,Open,Sri Chandrasekaran,In-Person,1/0
BIO 510,04,Thesis,BIO 506-06 - Experience in Research,,,Open,Victoria Turgeon,In-Person,1/0
BIO 510,05,Thesis,BIO 510-04 - Thesis,,,Open,Jason Rawlings,In-Person,3/0
BIO 510,06,Thesis,BIO 510-05 - Thesis,,,Open,Adi Dubash,In-Person,3/0
BIO 510,07,Thesis,BIO 510-06 - Thesis,,,Open,John Quinn,In-Person,2/0
BIO 510,08,Thesis,BIO 510-07 - Thesis,,,Open,Victoria Turgeon,In-Person,1/0
BIO 510,09,Thesis,BIO 510-08 - Thesis,,,Open,Min-Ken Liao,In-Person,1/0
BUS 100,01,Personal Finance,BIO 510-09 - Thesis,,,Open,Travis Perry,In-Person,4/0
BUS 100,02,Personal Finance,HIP-107,TR,10:00 AM - 11:15 AM,Open,Ronald Copsey,In-Person,23/24
BUS 230,01,Business Analytics,HIP-107,TR,1:00 PM - 2:15 PM,Closed,Ronald Copsey,In-Person,24/24
BUS 230,02,Business Analytics,HIP-102,TR,1:00 PM - 2:15 PM,Closed,Marion McHugh,In-Person,20/18
BUS 230,03,Business Analytics,HIP-102,TR,2:30 PM - 3:45 PM,Closed,Marion McHugh,In-Person,20/18
BUS 270,02,Entrepreneurship and New Venture Development,HIP-102,MWF,8:30 AM - 9:20 AM,Closed,Virginia Gerde,In-Person,19/18
BUS 280A,02,New Venture Business Modeling,HIP-202,MWF,11:30 AM - 12:20 PM,Closed,Steve Stewart,In-Person,24/22
BUS 320,01,Marketing Principles,HIP-209,MWF,1:30 PM - 2:20 PM,Open,Steve Stewart,In-Person,15/24
BUS 320,02,Marketing Principles,HIP-102,TR,8:30 AM - 9:45 AM,Closed,Bob Underwood,In-Person,25/24
BUS 340,01,Introduction to Finance and Markets,HIP-102,TR,10:00 AM - 11:15 AM,Closed,Bob Underwood,In-Person,25/24
BUS 340,02,Introduction to Finance and Markets,HIP-202,TR,10:00 AM - 11:15 AM,Open,Tom Smythe,In-Person,23/24
BUS 340,03,Introduction to Finance and Markets,HIP-104,TR,11:30 AM - 12:45 PM,Closed,Francis Kim,In-Person,24/24
BUS 350,01,Business Law,HIP-104,TR,1:00 PM - 2:15 PM,Open,Francis Kim,In-Person,9/24
BUS 421,01,International Marketing,HIP-107,TR,8:30 AM - 9:45 AM,Open,Anthony Nolte,In-Person,21/24
BUS 423,01,Consumer Behavior,HIP-202,TR,1:00 PM - 2:15 PM,Closed,Bob Underwood,In-Person,24/24
BUS 424,01,"Business, Branding and Behavior",HIP-209,TR,10:00 AM - 11:15 AM,Closed,Jeanine Stratton,In-Person,24/24
BUS 440,01,Investments Management,HIP-209,TR,11:30 AM - 12:45 PM,Closed,Jeanine Stratton,In-Person,24/24
BUS 442,01,Financial Institutions and Markets,HIP-104,TR,8:30 AM - 9:45 AM,Closed,Francis Kim,In-Person,27/24
BUS 450,02,Strategic Management,HIP-202,MW,1:30 PM - 2:45 PM,Closed,Tom Smythe,In-Person,25/24
BUS 450,03,Strategic Management,HIP-102,MWF,9:30 AM - 10:20 AM,Open,Virginia Gerde,In-Person,20/24
BUS 501,01,Independent Study,HIP-102,MWF,10:30 AM - 11:20 AM,Open,Virginia Gerde,In-Person,21/23
BUS 501,02,Independent Study,BUS 501-01 - Independent Study,,,Open,Jeanine Stratton,In-Person,1/0
BUS 501,03,Independent Study,BUS 501-02 - Independent Study,,,Open,Virginia Gerde,In-Person,3/0
BUS 501,04,Independent Study,BUS 501-03 - Independent Study,,,Open,Marion McHugh,In-Person,1/0
BUS 503,01,Individualized Internship,BUS 501-04 - Independent Study,,,Open,Virginia Gerde,In-Person,1/0
BUS 503,02,Individualized Internship,BUS 503-01 - Individualized Internship,,,Open,Virginia Gerde,In-Person,0/0
BUS 503,03,Individualized Internship,BUS 503-02 - Individualized Internship,,,Open,Marion McHugh,In-Person,1/0
BUS 503,04,Individualized Internship,BUS 503-03 - Individualized Internship,,,Open,Marion McHugh,In-Person,4/0
CHM 075,01,Seminar in Chemistry,BUS 503-04 - Individualized Internship,,,Open,Marion McHugh,In-Person,1/0
CHM 101,01,Chemistry and Global Awareness,PYR-031,TR,8:30 AM - 9:45 AM,Closed,Lauren E. Jarocha,In-Person,15/10
CHM 101,02,Chemistry and Global Awareness,PYR-030,MWF,9:30 AM - 10:20 AM,Open,Fritz Moise,In-Person,25/26
CHM 101,03,Chemistry and Global Awareness,PYR-030,MWF,1:30 PM - 2:20 PM,Open,Jeff Petty,In-Person,25/26
CHM 101,04,Chemistry and Global Awareness,PYR-030,TR,10:00 AM - 11:15 AM,Closed,Elizabeth Gordon,In-Person,27/26
CHM 110,01,Foundations of Chemistry,PYR-030,TR,11:30 AM - 12:45 PM,Closed,Elizabeth Gordon,In-Person,27/26
CHM 110,01L,Foundations of Chemistry,PYR-031,MWF,11:30 AM - 12:20 PM,Open,Karen Buchmueller,In-Person,17/18
CHM 110,02,Foundations of Chemistry,PYR-031,T,10:00 AM - 12:00 PM,Open,Karen Buchmueller,In-Person,17/18
CHM 110,02L,Foundations of Chemistry,PYR-031,MWF,1:30 PM - 2:20 PM,Closed,Karen Buchmueller,In-Person,18/18
CHM 110,03,Foundations of Chemistry,PYR-030,T,1:00 PM - 3:00 PM,Closed,Karen Buchmueller,In-Person,18/18
CHM 110,03L,Foundations of Chemistry,PYR-031,MWF,10:30 AM - 11:20 AM,Closed,Gary Guillet,In-Person,19/18
CHM 110,04,Foundations of Chemistry,PYR-030,W,2:30 PM - 4:30 PM,Closed,Gary Guillet,In-Person,19/18
CHM 110,04L,Foundations of Chemistry,PYR-030,MWF,8:30 AM - 9:20 AM,Open,Jeff Petty,In-Person,11/18
CHM 115,01,Kinetics Thermodynamics and the Environment,PYR-031,R,10:00 AM - 12:00 PM,Open,Jeff Petty,In-Person,11/18
CHM 115,01L,Kinetics Thermodynamics and the Environment,PYR-231,MWF,11:30 AM - 12:20 PM,Open,Brian Augustine,In-Person,27/32
CHM 115,02L,Kinetics Thermodynamics and the Environment,PYR-031,R,1:00 PM - 3:00 PM,Open,Brian Augustine,In-Person,17/18
CHM 115,03,Kinetics Thermodynamics and the Environment,PYR-031,R,3:30 PM - 5:30 PM,Open,Brian Augustine,In-Person,10/18
CHM 115,03L,Kinetics Thermodynamics and the Environment,PYR-030,MWF,10:30 AM - 11:20 AM,Open,George Shields,In-Person,14/18
CHM 115,04,Kinetics Thermodynamics and the Environment,PYR-031,T,1:00 PM - 3:00 PM,Open,George Shields,In-Person,14/18
CHM 115,04L,Kinetics Thermodynamics and the Environment,PYR-031,MWF,9:30 AM - 10:20 AM,Open,George Shields,In-Person,13/18
CHM 120,01,Organic Chemistry I,PYR-031,T,3:30 PM - 5:30 PM,Open,George Shields,In-Person,13/18
CHM 120,01L,Organic Chemistry I,PYR-231,MWF,9:30 AM - 10:20 AM,Open,David Watt,In-Person,23/30
CHM 120,02,Organic Chemistry I,PYR-249,T,8:30 AM - 11:20 AM,Open,David Watt,In-Person,19/20
CHM 120,02L,Organic Chemistry I,PYR-231,MWF,10:30 AM - 11:20 AM,Open,David Watt,In-Person,29/30
CHM 120,03L,Organic Chemistry I,PYR-231,T,1:00 PM - 3:50 PM,Open,David Watt,In-Person,19/20
CHM 220,01,Organic Chemistry II,TNS-261,R,1:00 PM - 3:30 PM,Open,Kyle Martin,In-Person,14/20
CHM 230,01,Inorganic Chemistry,PYR-231,TR,10:00 AM - 11:15 AM,Open,Greg Springsteen,In-Person,34/36
CHM 230,01L,Inorganic Chemistry,PYR-030,TR,8:30 AM - 9:45 AM,Open,Gary Guillet,In-Person,15/32
CHM 240,01,Experimental Techniques,PYR-231,F,1:30 PM - 5:20 PM,Open,Gary Guillet,In-Person,15/32
CHM 240,01L,Experimental Techniques,MWF | 9:30 AM - 10:20 AM,,,Open,Brian Goess,In-Person,7/10
CHM 240,02,Experimental Techniques,TNS-275,MW,1:30 PM - 5:30 PM,Open,Brian Goess,In-Person,7/10
CHM 240,02L,Experimental Techniques,PYR-249,MWF,9:30 AM - 10:20 AM,Open,Paul Wagenknecht,In-Person,8/10
CHM 340,01,Physical Chemistry II,TNS-275,TR,1:30 PM - 5:30 PM,Open,Paul Wagenknecht,In-Person,8/10
CHM 340,01L,Physical Chemistry II,PYR-126,MWF,10:30 AM - 11:20 AM,Open,Lauren E. Jarocha,In-Person,26/27
CHM 445,01,Advanced Topics in Physical Chemistry (Topic to be determined),PYR-249,T,1:00 PM - 4:00 PM,Open,Lauren E. Jarocha,In-Person,26/27
CHM 465,01,Advanced Biological Chemistry,PYR-249,MWF,2:30 PM - 3:20 PM,Open,Lauren E. Jarocha,In-Person,10/20
CHM 465,01L,Advanced Biological Chemistry,PYR-249,MWF,11:30 AM - 12:20 PM,Open,Meghan Breen,In-Person,13/20
CHM 470,01,Special Topics in Biochemistry,PYR-249,R,1:00 PM - 4:00 PM,Open,Meghan Breen,In-Person,13/20
CHM 502,01,Undergraduate Research,PYR-031,MWF,2:30 PM - 3:20 PM,Open,Karen Buchmueller,In-Person,13/14
CHM 502,02,Undergraduate Research,CHM 502-01 - Undergraduate Research,,,Open,Tim Hanks,In-Person,1/0
CHM 502,03,Undergraduate Research,CHM 502-02 - Undergraduate Research,,,Open,Paul Wagenknecht,In-Person,1/0
CHM 502,04,Undergraduate Research,CHM 502-03 - Undergraduate Research,,,Open,Sandy Wheeler,In-Person,1/0
CHM 502,05,Undergraduate Research,CHM 502-04 - Undergraduate Research,,,Open,Meghan Breen,In-Person,2/0
CHM 502,06,Undergraduate Research,CHM 502-05 - Undergraduate Research,,,Open,Tim Hanks,In-Person,1/0
CHM 502,07,Undergraduate Research,CHM 502-06 - Undergraduate Research,,,Open,Karen Buchmueller,In-Person,1/0
CHM 502,08,Undergraduate Research,CHM 502-07 - Undergraduate Research,,,Open,Mary Elizabeth Anderson,In-Person,1/0
CHM 502,09,Undergraduate Research,CHM 502-08 - Undergraduate Research,,,Open,George Shields,In-Person,2/0
CHM 502,10,Undergraduate Research,CHM 502-09 - Undergraduate Research,,,Open,Brian Goess,In-Person,2/0
CHM 502,11,Undergraduate Research,CHM 502-10 - Undergraduate Research,,,Open,Tim Hanks,In-Person,1/0
CHM 502,12,Undergraduate Research,CHM 502-11 - Undergraduate Research,,,Open,Lauren E. Jarocha,In-Person,1/0
CHM 511,01,Undergraduate Thesis II,CHM 502-12 - Undergraduate Research,,,Open,George Shields,In-Person,1/0
CHM 511,02,Undergraduate Thesis II,CHM 511-01 - Undergraduate Thesis II,,,Closed,Greg Springsteen,In-Person,1/0
CHM 511,03,Undergraduate Thesis II,CHM 511-02 - Undergraduate Thesis II,,,Closed,Brian Goess,In-Person,3/0
CHM 511,04,Undergraduate Thesis II,CHM 511-03 - Undergraduate Thesis II,,,Closed,Karen Buchmueller,In-Person,3/0
CHM 511,05,Undergraduate Thesis II,CHM 511-04 - Undergraduate Thesis II,,,Closed,George Shields,In-Person,3/0
CHM 511,06,Undergraduate Thesis II,CHM 511-05 - Undergraduate Thesis II,,,Closed,Paul Wagenknecht,In-Person,2/0
CHM 511,07,Undergraduate Thesis II,CHM 511-06 - Undergraduate Thesis II,,,Closed,Jeff Petty,In-Person,1/0
CHM 511,08,Undergraduate Thesis II,CHM 511-07 - Undergraduate Thesis II,,,Closed,Sandy Wheeler,In-Person,5/0
CHM 511,09,Undergraduate Thesis II,CHM 511-08 - Undergraduate Thesis II,,,Closed,Lauren E. Jarocha,In-Person,1/0
CHM 511,10,Undergraduate Thesis II,CHM 511-09 - Undergraduate Thesis II,,,Closed,Mary Beth Daub,In-Person,1/0
CHM 511,11,Undergraduate Thesis II,CHM 511-10 - Undergraduate Thesis II,,,Closed,Meghan Breen,In-Person,1/0
CHM 511,13,Undergraduate Thesis II,CHM 511-11 - Undergraduate Thesis II,,,Closed,Tim Hanks,In-Person,4/0
CHN 120,01,Elementary Chinese II,CHM 511-13 - Undergraduate Thesis II,,,Closed,Gary Guillet,In-Person,0/0
CHN 120,02,Elementary Chinese II,FUR-229,MTWR,8:30 AM - 9:20 AM,Open,Dongming Zhang,In-Person,4/24
CHN 202,01,Intermediate Chinese II,RLY-107,MTWR,11:30 AM - 12:20 PM,Closed,Dongming Zhang,In-Person,24/24
CHN 246,01,Twentieth Century Chinese Popular Fiction,RLY-107,MTRF,10:30 AM - 11:20 AM,Open,Dongming Zhang,In-Person,8/24
CHN 302,01,Intermediate Chinese IV,FUR-107,TR,11:30 AM - 12:45 PM,Open,Mengling Wang,In-Person,22/24
CHN 402,01,Advanced Chinese II,FUR-118,MWF,10:30 AM - 11:20 AM,Open,Mengling Wang,In-Person,5/24
CLS 216-01 - Historical Linguistics and Proto-Indo-European,,,MWF | 10:30 AM - 11:20 AM,,,Open,Mengling Wang,In-Person,1/24
CLS 233,01,The Art of Poetry,FUR-230,TR,2:30 PM - 3:45 PM,Open,Eunice Kim,In-Person,21/24
CLS 322,01,The Power in Democracy,FUR-108,MWF,9:30 AM - 10:20 AM,Open,Emma Brobeck,In-Person,10/24
COM 101,01,Public Speaking,FUR-229,TR,1:00 PM - 2:15 PM,Open,Chiara Palladino,In-Person,13/18
COM 101,03,Public Speaking,FUR-126,MWF,8:30 AM - 9:20 AM,Closed,Raiana de Carvalho,In-Person,15/15
COM 101,04,Public Speaking,FUR-127,MWF,1:30 PM - 2:20 PM,Closed,Andrew Moore,In-Person,15/15
COM 101,05,Public Speaking,FUR-127,MWF,11:30 AM - 12:20 PM,Open,Mai Nou Xiong-Gum,In-Person,13/15
COM 101,06,Public Speaking,FUR-126,MWF,9:30 AM - 10:20 AM,Closed,Raiana de Carvalho,In-Person,15/15
COM 102,01,Media & Society,FUR-127,TR,8:30 AM - 9:45 AM,Closed,Daniel Stout,In-Person,15/15
COM 102,02,Media & Society,FUR-127,MWF,2:30 PM - 3:20 PM,Closed,Andrew Moore,In-Person,19/18
COM 102,03,Media & Society,JHN-212,MWF,11:30 AM - 12:20 PM,Closed,Raiana de Carvalho,In-Person,18/18
COM 201,01,Rhetoric & Strategy,FUR-127,MWF,9:30 AM - 10:20 AM,Closed,Mai Nou Xiong-Gum,In-Person,18/18
COM 201,02,Rhetoric & Strategy,FUR-127,TR,1:00 PM - 2:15 PM,Closed,Brandon Inabinet,In-Person,16/16
COM 202,01,Digital Storytelling,FUR-110,TR,8:30 AM - 9:45 AM,Closed,Camille Lewis,In-Person,17/16
COM 202,02,Digital Storytelling,FUR-136,TR,1:30 PM - 3:20 PM,Open,Mary Sturgill,In-Person,12/14
COM 202,03,Digital Storytelling,FUR-136,MF,8:30 AM - 10:20 AM,Open,Selena Dickey,In-Person,9/14
COM 301,01,Rhetorical Criticism,FUR-136,TR,11:30 AM - 1:20 PM,Closed,Tim Piper,In-Person,17/14
COM 303,01,Communication Research Methods,FUR-110,TR,10:00 AM - 11:15 AM,Open,Camille Lewis,In-Person,13/15
COM 304,01,Broadcast Communication,FUR-201,TR,11:30 AM - 12:45 PM,Closed,Adam Richards,In-Person,15/15
COM 314,01,Social Media Strategy,FUR-136,MW,10:30 AM - 12:20 PM,Open,Mary Sturgill,In-Person,7/15
COM 331,01,Media History,FUR-127,TR,10:00 AM - 11:15 AM,Closed,Nigel Robertson,In-Person,20/18
COM 351,01,Advocacy,FUR-126,MW,1:30 PM - 3:20 PM,Closed,Selena Dickey,In-Person,18/18
COM 377,01,Persuasive Message Design,FUR-118,TR,8:30 AM - 9:45 AM,Open,Zachary White,In-Person,16/18
COM 421,01,Studies in Mass Media (Sports Media),FUR-201,TR,10:00 AM - 11:15 AM,Closed,Adam Richards,In-Person,18/18
COM 421,02,Studies in Mass Media (Media Management),FUR-126,TR,8:30 AM - 9:45 AM,Open,Tim Piper,In-Person,16/18
COM 461,01,Media Law,FUR-106,MW,1:30 PM - 3:20 PM,Open,David Carfolite,In-Person,14/18
COM 505,01,Structured Internship,FUR-126,MWF,11:30 AM - 12:20 PM,Closed,Selena Dickey,In-Person,18/18
CSC 105,01,Intro to Computer Science (Creativity and Computers),FUR-111,R,11:30 AM - 12:45 PM,Open,Janna Pennington,In-Person,9/10
CSC 105,01L,Intro to Computer Science (Creativity and Computers),RLY-106,TR,1:00 PM - 2:15 PM,Open,Andrea Tartaro,In-Person,15/24
CSC 121,01,Intro to Computer Programming,RLY-201,T,2:30 PM - 4:30 PM,Open,Andrea Tartaro,In-Person,15/24
CSC 121,01L,Intro to Computer Programming,RLY-106,TR,11:30 AM - 12:45 PM,Closed,Trey Grainger [C],In-Person,25/24
CSC 121,02,Intro to Computer Programming,RLY-201,W,4:30 PM - 6:30 PM,Closed,Trey Grainger [C],In-Person,25/24
CSC 121,02L,Intro to Computer Programming,RLY-106,TR,3:00 PM - 4:15 PM,Open,Mark Johnson,In-Person,14/24
CSC 122,01,Data Structures and Algorithms,W | 2:30 PM - 4:30 PM,,,Open,Mark Johnson,Online,14/24
CSC 122,01L,Data Structures and Algorithms,RLY-106,MWF,10:30 AM - 11:20 AM,Open,Rebecca Drucker,In-Person,22/24
CSC 223,01,Advanced Data Structures and Software Development,RLY-201,W,2:30 PM - 4:30 PM,Open,Rebecca Drucker,In-Person,22/24
CSC 223,01L,Advanced Data Structures and Software Development,RLY-204,TR,10:00 AM - 11:15 AM,Closed,Syed Fahad Sultan,In-Person,18/15
CSC 231,01,Computer Organization,RLY-203,W,2:30 PM - 4:30 PM,Closed,Syed Fahad Sultan,In-Person,18/15
CSC 231,01L,Computer Organization,RLY-204,MWF,8:30 AM - 9:20 AM,Open,Rebecca Drucker,In-Person,23/24
CSC 272,01,Introduction to Data Mining,RLY-203,M,2:30 PM - 4:30 PM,Open,Rebecca Drucker,In-Person,23/24
CSC 272,01L,Introduction to Data Mining,RLY-106,MWF,11:30 AM - 12:20 PM,Closed,Kevin Treu,In-Person,26/24
CSC 272,02,Introduction to Data Mining,RLY-203,T,2:30 PM - 4:30 PM,Closed,Kevin Treu,In-Person,26/24
CSC 272,02L,Introduction to Data Mining,RLY-106,MWF,8:30 AM - 9:20 AM,Closed,Kevin Treu,In-Person,25/24
CSC 332,TU,Data Communications and Networking,RLY-203,T,4:30 PM - 6:30 PM,Closed,Kevin Treu,In-Person,25/24
CSC 332,TUL,Data Communications and Networking,CSC 332-TU - Data Communications and Networking,,,Closed,Rebecca Drucker,In-Person,1/0
CSC 341,01,Database Management Systems,CSC 332-TUL - Data Communications and Networking,,,Closed,Rebecca Drucker,In-Person,1/0
CSC 341,01L,Database Management Systems,RLY-106,MWF,9:30 AM - 10:20 AM,Closed,Kevin Treu,In-Person,25/24
CSC 372,01,Machine Learning with Big Data,RLY-201,M,2:30 PM - 4:30 PM,Closed,Kevin Treu,In-Person,25/24
CSC 372,01L,Machine Learning with Big Data,RLY-204,TR,8:30 AM - 9:45 AM,Closed,Syed Fahad Sultan,In-Person,24/24
CSC 475,01,Seminar in Computer Science,RLY-203,R,2:30 PM - 4:30 PM,Closed,Syed Fahad Sultan,In-Person,24/24
CSC 475,02,Seminar in Computer Science,RLY-204,W,2:30 PM - 5:20 PM,Closed,Andrea Tartaro,In-Person,9/9
CSC 502,01,Research,RLY-204,M,2:30 PM - 5:20 PM,Open,Andrea Tartaro,In-Person,8/9
DAN 220,01,Dance Techniques II,CSC 502-01 - Research,,,Closed,"Kevin Treu, Syed Fahad Sultan",In-Person,1/0
ECN 111,01,Introduction to Economics,TPH-STR,MW,8:30 AM - 10:20 AM,Open,Helen Joy,In-Person,7/12
ECN 111,02,Introduction to Economics,RLY-109E,MWF,2:30 PM - 3:20 PM,Closed,Jessica Sauve-Syed,In-Person,19/18
ECN 111,03,Introduction to Economics,RLY-105,MWF,9:30 AM - 10:20 AM,Open,Taha Kasim,In-Person,17/18
ECN 111,04,Introduction to Economics,RLY-109E,TR,10:00 AM - 11:15 AM,Open,Nathan Cook,In-Person,17/18
ECN 111,05,Introduction to Economics,RLY-108,TR,11:30 AM - 12:45 PM,Open,Nathan Cook,In-Person,17/18
ECN 224,01,Law and Economics,RLY-109E,TR,2:30 PM - 3:45 PM,Open,Jeffrey Yankow,In-Person,17/18
ECN 233,01,Economics of Gender,RLY-103,TR,2:30 PM - 3:45 PM,Closed,Nathan Cook,In-Person,19/18
ECN 238,01,Public Economics,RLY-204,TR,1:00 PM - 2:15 PM,Closed,Jessica Hennessey,In-Person,18/18
ECN 241,01,Money and Banking,RLY-106,TR,10:00 AM - 11:15 AM,Open,Jessica Hennessey,In-Person,16/18
ECN 244,01,Behavioral Economics,HIP-209,MWF,11:30 AM - 12:20 PM,Open,Kailash Khandke,In-Person,16/18
ECN 256,01,Economics of Strategy,RLY-109E,MWF,9:30 AM - 10:20 AM,Open,Kelsey Hample,In-Person,16/18
ECN 331,01,Empirical Methods in Economics,RLY-109E,MWF,1:30 PM - 2:20 PM,Closed,Ken Peterson,In-Person,18/18
ECN 331,01L,Empirical Methods in Economics,RLY-108,TR,10:00 AM - 11:15 AM,Closed,Taha Kasim,In-Person,15/12
ECN 345,01,Intermediate Macroeconomics Analysis,RLY-108,R,2:30 PM - 5:20 PM,Closed,Taha Kasim,In-Person,15/12
ECN 475,01,Senior Seminar in Economics (Human Capital),HIP-209,TR,1:00 PM - 2:15 PM,Open,Kailash Khandke,In-Person,17/18
ECN 475,02,Senior Seminar in Economics (The Rise and Fall of American Growth),RLY-109E,MWF,10:30 AM - 11:20 AM,Closed,Jessica Sauve-Syed,In-Person,13/12
ECN 503,01,Individualized Internship,RLY-109E,TR,11:30 AM - 12:45 PM,Open,Jeffrey Yankow,In-Person,9/12
EDU 112,01,History of Education in America,ECN 503-01 - Individualized Internship,,,Closed,Jeffrey Yankow,In-Person,2/0
EDU 114,01,"Culture, Identity, and Schooling",HIP-209,MWF,10:30 AM - 11:20 AM,Closed,Scott Henderson,In-Person,22/20
EDU 120,01,Human Development,HIP-204,MWF,10:30 AM - 11:20 AM,Open,Michael Jennings,In-Person,19/20
EDU 120,02,Human Development,HIP-206,MWF,10:30 AM - 11:20 AM,Open,Judy Stuart,In-Person,19/20
EDU 120,03,Human Development,HIP-205,MWF,11:30 AM - 12:20 PM,Closed,Temi Bidjerano,In-Person,22/20
EDU 221,01,Students with Exceptionalities,HIP-205,MWF,1:30 PM - 2:20 PM,Closed,Temi Bidjerano,In-Person,20/20
EDU 222,01,Nature of Learning Disabilities,HIP-206,MWF,9:30 AM - 10:20 AM,Open,Judy Stuart,In-Person,12/20
EDU 223,01,Nature of Emotional and Behavioral Disorders,EDU 222-01 - Nature of Learning Disabilities,,,Open,Patricia Hensley,Online,5/15
EDU 250,01,Scholarly Reading and Writing in Education,EDU 223-01 - Nature of Emotional and Behavioral Disorders,,,Open,Patricia Hensley,Online,1/15
EDU 275,01,Educational Psychology,HIP-107,MWF,10:30 AM - 11:20 AM,Closed,Paul Thomas,In-Person,15/15
EDU 305,01,Arts Integration in Elementary Grades,HIP-205,TR,10:00 AM - 11:15 AM,Closed,Temi Bidjerano,In-Person,21/20
EDU 331-01 - Literacy Processes and Instruction in Grades 2-6,,,HIP-205,TR,11:30 AM - 12:45 PM,Open,Caroline Davis,In-Person,12/15
EDU 332-01 - Social Studies in Grades PK-6,,,HIP-206,TR,10:00 AM - 11:15 AM,Open,Katie Kelly,In-Person,6/15
EDU 434,01,Content Literacy Strategies and Modifications for Diverse Learners,HIP-205,TR,1:00 PM - 2:15 PM,Open,George Lipscomb,In-Person,14/15
EDU 434,02,Content Literacy Strategies and Modifications for Diverse Learners,HIP-101A,MWF,9:30 AM - 10:20 AM,Open,Katie Kelly,In-Person,7/14
EDU 435,01,"Plan, Instruct, Assess in the Elementary Classroom",HIP-106,M,6:00 PM - 8:30 PM,Open,Jena Ford,In-Person,7/15
EDU 470,01,Practicum in Teaching,HIP-205,MWF,2:30 PM - 3:20 PM,Open,Shameera Virani,In-Person,7/14
EDU 470,02,Practicum in Teaching,EDU 470-01 - Practicum in Teaching,,,Open,Deborah Hoffmann,In-Person,2/6
EDU 470,03,Practicum in Teaching,EDU 470-02 - Practicum in Teaching,,,Open,Gabrielle Lollis,In-Person,3/6
EDU 503,01,Individualized Internship,EDU 470-03 - Practicum in Teaching,,,Open,Abby Price,In-Person,2/6
EDU 505,01,Teaching Internship,W | 1:30 PM - 2:20 PM,,,Open,Judy Stuart,In-Person,5/10
EES 112,01,Environmental Science,EDU 505-01 - Teaching Internship,,,Open,Sue Samuels,In-Person,7/10
EES 112,01L,Environmental Science,RNK-152,MWF,8:30 AM - 9:20 AM,Closed,Karen Allen,In-Person,25/24
EES 112,02,Environmental Science,RNK-152,M,2:30 PM - 5:20 PM,Closed,Karen Allen,In-Person,25/24
EES 112,02L,Environmental Science,RNK-152,TR,1:00 PM - 2:15 PM,Open,Valeska Minkowski,In-Person,22/24
EES 113,01,Natural Hazards and Natural Disasters,PYR-026,T,2:30 PM - 5:20 PM,Open,Valeska Minkowski,In-Person,22/24
EES 113,01L,Natural Hazards and Natural Disasters,RNK-151,MWF,9:30 AM - 10:20 AM,Closed,Gustavo Coelho,In-Person,24/24
EES 115,02,Earth Systems,RNK-151,M,2:30 PM - 5:20 PM,Closed,Gustavo Coelho,In-Person,24/24
EES 115,02L,Earth Systems,RNK-151,MWF,10:30 AM - 11:20 AM,Closed,Peter Horvath,In-Person,24/24
EES 201,01,Geographic Information Systems,RNK-151,W,2:30 PM - 5:20 PM,Closed,Peter Horvath,In-Person,24/24
EES 201,01L,Geographic Information Systems,PYR-118,TR,11:30 AM - 12:45 PM,Closed,Suresh Muthukrishnan,In-Person,16/16
EES 202,01,Methods in Earth and Environmental Sciences,PYR-118,T,2:30 PM - 5:20 PM,Closed,Suresh Muthukrishnan,In-Person,16/16
EES 202,01L,Methods in Earth and Environmental Sciences,PYR-108,TR,1:00 PM - 2:15 PM,Closed,Emma Hunt,In-Person,13/12
EES 301,01,Remote Sensing,PYR-108,R,2:30 PM - 5:20 PM,Closed,Emma Hunt,In-Person,13/12
EES 301,01L,Remote Sensing,PYR-118,MWF,11:30 AM - 12:20 PM,Open,Suresh Muthukrishnan,In-Person,13/16
EES 474,01,Senior Capstone,PYR-118,W,2:30 PM - 5:20 PM,Open,Suresh Muthukrishnan,In-Person,13/16
ENG 111,01,Texts and Meaning (Science Fiction: The Pulp Era to the Present),RNK-152,TR,10:00 AM - 11:15 AM,Open,Melissa Ranhofer,In-Person,7/8
ENG 111,02,Texts and Meaning (Science Fiction: The Pulp Era to the Present),FUR-117,MWF,10:30 AM - 11:20 AM,Open,Jeanne Provost,In-Person,17/18
