,Program,Header,Courses
10,"Anthropology, B.A.",h2: A major in anthropology consists of nine four-credit courses (36 credits) and must include:,"[{'ANT-101 Introduction to Anthropology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60085&print'}, {'ANT-105 Introduction to Archaeology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60086&print'}, {'ANT-401 Anthropological Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60095&print'}, {'ANT-304 Archaeology Method and Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61596&print'}, 'or ANT-305 Practicing Anthropology']"
11,"Anthropology, B.A.",h2: At least two courses numbered between 200 and 299 from the following,"[{'ANT-202 Peoples of Africa and the African Diaspora': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60087&print'}, {'ANT-203 Peoples and Cultures of the World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60088&print'}, {'ANT-204 Modern Japanese Society through Films': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60089&print'}, {'ANT-205 Japanese Popular Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60090&print'}, {'ANT-230 Biological Anthropology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61726&print'}, {'ANT-250 Race and the US Criminal Justice System': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61586&print'}, {'ANT-254 The Power and Politics of Black Foodways': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61637&print'}, {'ANT-258 Women in Africa and the African Diaspora': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61638&print'}, {'ANT-262 Magic and Religion': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61259&print'}, {'ANT-263 Environmental Anthropology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60093&print'}, {'ANT-264 Psychological Anthropology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61277&print'}, {'AST-215 Archaeology of East Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61600&print'}, {'AST-240 Archaeology of the Silk Road': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61556&print'}, {'AST-250 Human Development in Contemporary Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60135&print'}, {'AST-270 Languages of Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60138&print'}, {'CLS-211 Classical Archaeology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60261&print'}, {'JPN-225 Japanese Cinema': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60766&print'}, {'LNG-210 General Linguistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60777&print'}, {'LNG-220 Linguistic Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60778&print'}, {'LNG-230 Language as Cultural Phenomenon': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60779&print'}, {'LNG-240 The Origin of Language': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60780&print'}, {'REL-223 Hindu Cultures and Religious Worlds': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61120&print'}, {'REL-227 Religions of South Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61124&print'}]"
12,"Anthropology, B.A.","h2: And, at least one additional course numbered between 300 and 399 from the following","[{'ANT-302 Anthropology of Race and Ethnicity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60092&print'}, {'ANT-304 Archaeology Method and Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61596&print'}, {'ANT-305 Practicing Anthropology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61691&print'}, {'ANT-327 Feminist Anthropology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61639&print'}, {'REL-325 Women and Power in Hinduism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61151&print'}, {'SUS-320 Consumption and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61406&print'}, {'SUS-325 Conservation and Communities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61439&print'}]"
13,"Anthropology, B.A.",h2: Additional Requirements,[]
14,"Art History, B.A.","h2: To successfully fulfill major requirements, students must have at least a 2.00 grade point average in all program of study courses. They must also complete:","[{'ART-132 Histories of Art I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61598&print'}, {'ART-133 Histories of Art II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61597&print'}, {'ART-330 Art Theory and Criticism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60127&print'}, 'One studio course (ART 111orART 124recommended)', {'ART-350 Methodologies of Art History': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61458&print'}, 'or', {'ART-340 Curatorial Issues and Practices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61635&print'}, '', 'or', {'HUM 502 Humanities Lab': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61603&print'}, '', 'Six upper-level courses chosen from:\r\n\t\r\n\t\tART 236 Renaissance Art\nART 237 Arts of Baroque & Rococo\nART 245 Nineteenth Century Art\nART 246 Twentieth Century Art\nART 251 Contemporary Art Since 1960\nART 252 Women and the Arts\nART 253 Art & Death\nART 254 History of Photography\nART 255 Living in a Material World: Unexpected Art Objects\nART 256 Art & Politics\nART 257 The Revolution of Print\nART 258 Embodied Representations: Art, Bodies, & Identities\nART 259 History of Design\nART 260 Arts of Pre-Columbian Society\nART 261 Arts of African Societies\nART 263 Arts of Japan\nART-265 Museums Are Not Neutral\nART 270  Art Conservation\nART 271 Art and the Science of Observation\nART 272 Success in the Arts\nART 501 Independent Study\nART 503 Individualized Internship\n']"
15,"Studio Art, B.A.",h2: Required Courses:,"[{'ART-111 Introduction to Design': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60097&print'}, {'ART-112 Introduction to Sculpture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60098&print'}, {'ART-113 Introduction to Painting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60099&print'}, {'ART-124 Drawing': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60100&print'}, {'ART-132 Histories of Art I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61598&print'}, {'ART-133 Histories of Art II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61597&print'}, {'ART-205 Darkroom Photography': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60105&print'}, {'ART-206 Digital Photography': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60106&print'}, '', {'ART-330 Art Theory and Criticism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60127&print'}, {'ART-401 Studio Seminar I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60128&print'}, {'ART-402 Studio Seminar II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=62046&print'}]"
16,"Studio Art, B.A.","h2: 12 additional credits of studio arts and/or art history courses, which can also include:","[{'ART-200 Introduction to Ceramics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60101&print'}, {'ART-201 Themes in Ceramics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60102&print'}, {'ART-204 Themes in Painting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60104&print'}, {'ART-206 Digital Photography': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60106&print'}, {'ART-207 Printmaking': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60107&print'}, {'ART-210 Themes in Sculpture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60108&print'}, {'ART-215 Study Away Photography': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60109&print'}, {'ART-221 Editorial Layout and Design': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60110&print'}, {'ART-225 Digital Illustration': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60111&print'}, {'ART-236 Renaissance Art': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60112&print'}, {'ART-237 Arts of Baroque & Rococo': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60113&print'}, {'ART-246 Twentieth Century Art': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61445&print'}, {'ART-251 Contemporary Art Since 1960': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60114&print'}, {'ART-252 Women and the Arts': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60115&print'}, {'ART-253 Art & Death': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61599&print'}, {'ART-254 History of Photography': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60116&print'}, {'ART-255 Living in a Material World: Unexpected Art Objects': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61592&print'}, {'ART-256 Art & Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61634&print'}, {'ART-257 The Revolution of Print': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61640&print'}, {'ART-258 Embodied Representations: Art, Bodies, & Identities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61642&print'}, {'ART-259 History of Design': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61641&print'}, {'ART-260 Arts of Pre-Columbian Society': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60117&print'}, {'ART-261 Arts of African Societies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60118&print'}, {'ART-263 Arts of Japan': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60119&print'}, {'ART-270 Art Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61279&print'}, {'ART-271 Art and the Science of Observation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61373&print'}, {'ART-272 Success in the Arts': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61527&print'}, {'ART-275 Art and Architecture of Spanish America 1492 - 1820': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61613&print'}, {'ART-276 Conceptual Ideation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61614&print'}, {'ART-300 Sculpture Studio': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60120&print'}, {'ART-301 Life Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60121&print'}, {'ART-302 Painting Portfolio': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60122&print'}, {'ART-303 Photographic Essay': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60123&print'}, {'ART-304 Commercial Photography': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61555&print'}, {'ART-320 Brand Design': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60124&print'}, {'ART-321 Logos and Symbols': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60125&print'}, {'ART-322 Typography': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60126&print'}, {'ART-340 Curatorial Issues and Practices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61635&print'}, {'ART-350 Methodologies of Art History': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61458&print'}, {'ART-501 Independent Study': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60129&print'}, {'ART-503 Individualized Internship': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60130&print'}]"
17,"Asian Studies, B.A.","h2: To successfully fulfill major requirements, students must complete at least twelve courses (48 credits), from at least four different prefixes and focusing on at least three different regions (China, Japan, South Asia, or Pan-Asia) including:","[{'AST-200 Introduction to Asian Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61509&print'}, {'AST-470 Seminar in Asian Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60139&print'}]"
18,"Asian Studies, B.A.",h3: Ten courses (40 credits) drawn from the following (including at least three non-language courses):,"[{'CHN-110 Elementary Chinese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60678&print'}, {'CHN-120 Elementary Chinese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60679&print'}, {'CHN-201 Intermediate Chinese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60680&print'}, {'CHN-202 Intermediate Chinese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60681&print'}, {'CHN-301 Intermediate Chinese III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60688&print'}, {'CHN-302 Intermediate Chinese IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60689&print'}, {'CHN-401 Advanced Chinese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60691&print'}, {'CHN-402 Advanced Chinese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60692&print'}, {'CHN-403 Chinese through Film and Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60693&print'}, {'CHN-404 Classical Chinese': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60694&print'}, {'JPN-110 Elementary Japanese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60762&print'}, {'JPN-120 Elementary Japanese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60763&print'}, {'JPN-201 Intermediate Japanese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60764&print'}, {'JPN-202 Intermediate Japanese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60765&print'}, {'JPN-301 Intermediate Japanese III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60769&print'}, {'JPN-302 Intermediate Japanese IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60770&print'}, {'JPN-401 Advanced Japanese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60771&print'}, {'JPN-402 Advanced Japanese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60772&print'}, {'JPN-403 Advanced Japanese III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60773&print'}, {'JPN-404 Advanced Japanese IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60774&print'}, {'ANT-204 Modern Japanese Society through Films': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60089&print'}, {'ANT-205 Japanese Popular Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60090&print'}, {'ANT-209 Gender in East Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60091&print'}, {'ART-263 Arts of Japan': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60119&print'}, {'AST-215 Archaeology of East Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61600&print'}, {'AST-220 Ramayana': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60132&print'}, {'AST-221 South Asian Music and Popular Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60133&print'}, {'AST-225 Premodern Literature of India': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60134&print'}, {'AST-240 Archaeology of the Silk Road': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61556&print'}, {'AST-250 Human Development in Contemporary Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60135&print'}, {'AST-255 Poverty, Gender and Development in India': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60136&print'}, {'AST-260 Environment and Health in India': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60137&print'}, {'AST-270 Languages of Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60138&print'}, {'CHN-225 Chinese Film': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60682&print'}, {'CHN-230 Survey of Chinese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60683&print'}, {'CHN-235 Classic Chinese Fiction': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60684&print'}, {'CHN-240 Chinese Civilization': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60685&print'}, {'CHN-245 Twentieth Century Chinese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60686&print'}, {'CHN-246 Twentieth Century Chinese Popular Fiction': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60687&print'}, {'CHN-320 Travel Study in Chinese Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60690&print'}, {'ECN-245 Development Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61495&print'}, {'HST-155 South Asia in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60550&print'}, {'HST-156 India in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60551&print'}, {'HST-161 Japan in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60552&print'}, {'HST-162 Japan in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60553&print'}, {'HST-165 China in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60554&print'}, {'HST-166 China in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60555&print'}, {'HST-256 Women and Gender in India': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60580&print'}, 'HST 27X - Special Topics in Chinese History - 2 credits (each) (HST-275 Movements in History,HST-276 Urban History,HST-277 Wars, Rebellions, and Revolutions,HST-278 Empire and Imperialism,HST-279 Historical Lives)', {'HST-268 Twentieth Century China': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60581&print'}, {'HST-350 Travel Study in China': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60590&print'}, {'HST-355 Travel Study in India': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60593&print'}, {'JPN-225 Japanese Cinema': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60766&print'}, {'JPN-235 Classical Japanese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60767&print'}, {'JPN-245 Modern Japanese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60768&print'}, {'PHL-220 Realizing Bodymind': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60965&print'}, {'PHL-230 Indian Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61320&print'}, {'PHL-240 Chinese Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60966&print'}, {'PHL-250 Japanese Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60968&print'}, {'POL-226 Politics of China': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61038&print'}, {'POL-229 Politics of Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61040&print'}, {'REL-223 Hindu Cultures and Religious Worlds': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61120&print'}, {'REL-224 Introduction to Buddhism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61121&print'}, {'REL-227 Religions of South Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61124&print'}, {'REL-320 Sexuality and Gender in Buddhism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61720&print'}, {'REL-325 Women and Power in Hinduism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61151&print'}, {'REL-328 Religions in Japan': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61401&print'}, 'One approved FYW or MayX (2 credits) with topical focus on Asia', '', 'All exceptions to major requirements must be approved by the department chair.']"
19,"Chinese Studies, B.A.","h2: Majors must complete AST-200 plus at least eleven courses (44 credits) focused on China, with at least four courses having a prefix other than CHN. The following courses are required for all majors:","[{'AST-200 Introduction to Asian Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61509&print'}, {'AST-470 Seminar in Asian Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60139&print'}]"
