,Program,Header,Courses
145,"Computer Science, B.S.",h2: One additional course selected from the following options:,"[{'CSC-271 Digital Dilemmas: Data, Technology, and Being Human': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60334&print'}, {'CSC-272 Introduction to Data Mining': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60335&print'}, {'CSC-273 History of Technology and Discovery': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61286&print'}, {'MTH-120 Introduction to Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60647&print'}, {'MTH-151 Analytic Geometry and Calculus II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60644&print'}, {'MTH-160 Vectors and Matrices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60645&print'}]"
146,"Computer Science, B.S.",h2: Capstone Experience (one course):,"[{'CSC-475 Seminar in Computer Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60353&print'}, {'CSC-502 Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60355&print'}]"
147,"Computer Science, B.S.",h2: and six Purposeful Pathways activities:,[]
148,"Information Technology, B.A.",h2: A major must include:,"[{'CSC-105 Intro to Computer Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60327&print'}, {'CSC-121 Intro to Computer Programming': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60328&print'}, {'CSC-122 Data Structures and Algorithms': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60329&print'}, {'CSC-475 Seminar in Computer Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60353&print'}, 'or', {'CSC-502 Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60355&print'}, 'at least two more CSC courses numbered 200 or greater with at least one of the courses numbered 300 or greater, and', 'at least three other courses numbered 200 or greater in a cognate discipline with at least one course numbered 300 or greater.']"
149,"Information Technology, B.A.",h2: and six Purposeful Pathways activities:,[]
150,"Information Technology, B.A.",h2: Further considerations,
151,"Information Technology, B.S.",h2: A major must include:,"[{'CSC-105 Intro to Computer Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60327&print'}, {'CSC-121 Intro to Computer Programming': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60328&print'}, {'CSC-122 Data Structures and Algorithms': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60329&print'}, {'CSC-475 Seminar in Computer Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60353&print'}, 'or', {'CSC-502 Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60355&print'}, 'at least two more CSC courses numbered 200 or greater with at least one of the courses numbered 300 or greater, and', 'at least three other courses numbered 200 or greater in a cognate discipline with at least one course numbered 300 or greater.']"
152,"Information Technology, B.S.",h2: and six Purposeful Pathways activities:,[]
153,"Information Technology, B.S.",h2: Further considerations,
154,"Earth and Environmental Science, B.A.",h2: Candidates for the B.A. degree must complete:,"[{'EES-111 Earth and the Silver Screen': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60357&print'}, {'EES-112 Environmental Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60358&print'}, {'EES-113 Natural Hazards and Natural Disasters': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60359&print'}, {'EES-115 Earth Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60356&print'}, {'EES-220 Mineralogy and Petrology I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60363&print'}]"
155,"Earth and Environmental Science, B.A.","h2: a mathematics course, appropriate for the discipline:","[{'MTH-120 Introduction to Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60647&print'}, {'MTH-145 Calculus for Management, Life and Social Sciences': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61340&print'}, {'MTH-150 Analytic Geometry and Calculus I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60643&print'}]"
156,"Earth and Environmental Science, B.A.","h2: and, six more EES elective courses numbered 200 or above.",
157,"Earth and Environmental Science, B.A.",h2: Further considerations,
158,"Earth and Environmental Science, B.S.",h2: Candidates for the B.S. degree must complete:,"[{'EES-111 Earth and the Silver Screen': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60357&print'}, 'or', {'EES-112 Environmental Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60358&print'}, 'or', {'EES-113 Natural Hazards and Natural Disasters': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60359&print'}, 'or', {'EES-115 Earth Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60356&print'}, {'EES-220 Mineralogy and Petrology I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60363&print'}, {'EES-472 Research and Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60386&print'}, {'EES-474 Senior Capstone': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61496&print'}, {'CHM-110 Foundations of Chemistry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60238&print'}, {'CHM-115 Kinetics, Thermodynamics and the Environment': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60239&print'}]"
159,"Earth and Environmental Science, B.S.","h2: and, six more EES elective courses numbered 200 or above.",
160,"Earth and Environmental Science, B.S.",h2: Further considerations,
161,"Sustainability Science, B.S.","h2: To fulfill major requirements, students must complete:","[{'EES-112 Environmental Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60358&print'}, {'SUS-120 Principles of Sustainability Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60390&print'}, {'SUS-241 Social Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60392&print'}, {'SUS-242 Dynamic System Modeling': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60393&print'}, {'SUS-474 Senior Capstone': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61505&print'}, {'SUS-472 Research and Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60394&print'}, 'or', {'SUS-473 Sustainability Science Practicum': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60395&print'}]"
162,"Sustainability Science, B.S.",h2: Six additional electives numbered 200 or above:,[]
163,"Sustainability Science, B.S.",h2: Further considerations,
164,"Economics, B.A.",h2: A major must include:,"[{'ACC-111 Principles of Financial Accounting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60197&print'}, 'or', {'ACC-120 Principles of Financial and Managerial Accounting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61725&print'}, '', 'or', {'CSC-121 Intro to Computer Programming': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60328&print'}, '', 'or', {'EES-201 Geographic Information Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60360&print'}, '', 'or', {'MTH-245 Statistical Methods I with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61484&print'}, '', {'ECN-111 Introduction to Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60400&print'}, {'ECN-120 Introduction to Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60403&print'}, 'or', {'MTH-120 Introduction to Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60647&print'}, '', {'MTH-145 Calculus for Management, Life and Social Sciences': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61340&print'}, 'or', {'MTH-150 Analytic Geometry and Calculus I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60643&print'}, '', {'ECN-331 Empirical Methods in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60418&print'}, {'ECN-345 Intermediate Macroeconomics Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60419&print'}, {'ECN-346 Intermediate Microeconomic Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60420&print'}, {'ECN-475 Senior Seminar in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60421&print'}]"
165,"Economics, B.A.","h3: at least three more economics courses numbered 201 or greater, excluding ECN-503","[{'ECN-224 Law and Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60402&print'}, {'ECN-226 Game Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61756&print'}, {'ECN-233 Economics of Gender': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60404&print'}, {'ECN-234 Urban Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60405&print'}, {'ECN-235 Population, Economy and Society': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60406&print'}, {'ECN-236 Economics of the Environment': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60407&print'}, {'ECN-237 Economics of Poverty and Inequality': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60408&print'}, {'ECN-238 Public Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60409&print'}, {'ECN-239 Economics of Sports': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61770&print'}, {'ECN-241 Money and Banking': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60410&print'}, {'ECN-242 Health Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60411&print'}, {'ECN-244 Behavioral Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61446&print'}, {'ECN-245 Development Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61495&print'}, {'ECN-246 Economic Growth': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61494&print'}, {'ECN-247 History of Economic Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60412&print'}, {'ECN-248 Economics of Market Regulation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60413&print'}, {'ECN-250 Labor Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60414&print'}, {'ECN-252 International Trade': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60415&print'}, {'ECN-253 International Finance and Macroeconomic Policy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60416&print'}, {'ECN-256 Economics of Strategy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60417&print'}]"
166,"Mathematics-Economics, B.A.",h2: The Mathematics-Economics Major will consist of the following requirements:,"[{'ECN-111 Introduction to Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60400&print'}, {'ECN-331 Empirical Methods in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60418&print'}, {'ECN-345 Intermediate Macroeconomics Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60419&print'}, {'ECN-346 Intermediate Microeconomic Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60420&print'}, {'ECN-475 Senior Seminar in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60421&print'}, 'One additional ECN course numbered 201 or higher, excluding ECN-503', {'MTH-151 Analytic Geometry and Calculus II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60644&print'}, {'MTH-160 Vectors and Matrices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60645&print'}, {'MTH-245 Statistical Methods I with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61484&print'}, {'MTH-250 Vector Calculus': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60648&print'}, {'MTH-255 Differential Equations': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60649&print'}, {'MTH-260 Transition to Higher Mathematics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60650&print'}, {'MTH-335 Mathematical Models and Applications': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60656&print'}, {'MTH-337 Operations Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60646&print'}, {'MTH-340 Probability': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60657&print'}, {'MTH-341 Mathematical Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60658&print'}, {'MTH-345 Statistical Methods II with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61606&print'}, {'MTH-355 Discrete Dynamical Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61593&print'}, {'MTH-435 Scientific Computation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61341&print'}, {'MTH-450 Real Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60662&print'}, {'MTH-465 Linear Algebra and Matrix Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60660&print'}]"
167,"Mathematics-Economics, B.A.",h3: Six courses in Economics:,"[{'ECN-111 Introduction to Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60400&print'}, {'ECN-331 Empirical Methods in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60418&print'}, {'ECN-345 Intermediate Macroeconomics Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60419&print'}, {'ECN-346 Intermediate Microeconomic Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60420&print'}, {'ECN-475 Senior Seminar in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60421&print'}, 'One additional ECN course numbered 201 or higher, excluding ECN-503']"
168,"Mathematics-Economics, B.A.",h3: Six courses in Mathematics:,
169,"Mathematics-Economics, B.A.",h4: Core courses:,"[{'MTH-151 Analytic Geometry and Calculus II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60644&print'}, {'MTH-160 Vectors and Matrices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60645&print'}]"
170,"Mathematics-Economics, B.A.",h4: Four additional courses from the following list:,"[{'MTH-245 Statistical Methods I with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61484&print'}, {'MTH-250 Vector Calculus': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60648&print'}, {'MTH-255 Differential Equations': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60649&print'}, {'MTH-260 Transition to Higher Mathematics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60650&print'}, {'MTH-335 Mathematical Models and Applications': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60656&print'}, {'MTH-337 Operations Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60646&print'}, {'MTH-340 Probability': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60657&print'}, {'MTH-341 Mathematical Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60658&print'}, {'MTH-345 Statistical Methods II with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61606&print'}, {'MTH-355 Discrete Dynamical Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61593&print'}, {'MTH-435 Scientific Computation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61341&print'}, {'MTH-450 Real Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60662&print'}, {'MTH-465 Linear Algebra and Matrix Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60660&print'}]"
171,"Mathematics-Economics, B.A.",h2: Majors are also advised to complete:,"[{'CSC-121 Intro to Computer Programming': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60328&print'}, {'MTH-435 Scientific Computation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61341&print'}]"
172,"Mathematics-Economics, B.S.",h2: The Mathematics-Economics Major will consist of the following requirements:,"[{'ECN-111 Introduction to Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60400&print'}, {'ECN-331 Empirical Methods in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60418&print'}, {'ECN-345 Intermediate Macroeconomics Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60419&print'}, {'ECN-346 Intermediate Microeconomic Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60420&print'}, {'ECN-475 Senior Seminar in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60421&print'}, 'One additional ECN course numbered 201 or higher, excluding ECN-503', {'MTH-151 Analytic Geometry and Calculus II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60644&print'}, {'MTH-160 Vectors and Matrices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60645&print'}, {'MTH-245 Statistical Methods I with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61484&print'}, {'MTH-250 Vector Calculus': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60648&print'}, {'MTH-255 Differential Equations': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60649&print'}, {'MTH-260 Transition to Higher Mathematics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60650&print'}, {'MTH-335 Mathematical Models and Applications': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60656&print'}, {'MTH-337 Operations Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60646&print'}, {'MTH-340 Probability': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60657&print'}, {'MTH-341 Mathematical Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60658&print'}, {'MTH-345 Statistical Methods II with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61606&print'}, {'MTH-355 Discrete Dynamical Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61593&print'}, {'MTH-435 Scientific Computation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61341&print'}, {'MTH-450 Real Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60662&print'}, {'MTH-465 Linear Algebra and Matrix Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60660&print'}]"
173,"Mathematics-Economics, B.S.",h3: Six courses in Economics:,"[{'ECN-111 Introduction to Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60400&print'}, {'ECN-331 Empirical Methods in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60418&print'}, {'ECN-345 Intermediate Macroeconomics Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60419&print'}, {'ECN-346 Intermediate Microeconomic Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60420&print'}, {'ECN-475 Senior Seminar in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60421&print'}, 'One additional ECN course numbered 201 or higher, excluding ECN-503']"
174,"Mathematics-Economics, B.S.",h3: Six courses in Mathematics:,
175,"Mathematics-Economics, B.S.",h4: Core courses:,"[{'MTH-151 Analytic Geometry and Calculus II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60644&print'}, {'MTH-160 Vectors and Matrices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60645&print'}]"
176,"Mathematics-Economics, B.S.",h4: Four additional courses from the following list:,"[{'MTH-245 Statistical Methods I with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61484&print'}, {'MTH-250 Vector Calculus': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60648&print'}, {'MTH-255 Differential Equations': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60649&print'}, {'MTH-260 Transition to Higher Mathematics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60650&print'}, {'MTH-335 Mathematical Models and Applications': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60656&print'}, {'MTH-337 Operations Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60646&print'}, {'MTH-340 Probability': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60657&print'}, {'MTH-341 Mathematical Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60658&print'}, {'MTH-345 Statistical Methods II with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61606&print'}, {'MTH-355 Discrete Dynamical Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61593&print'}, {'MTH-435 Scientific Computation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61341&print'}, {'MTH-450 Real Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60662&print'}, {'MTH-465 Linear Algebra and Matrix Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60660&print'}]"
177,"Mathematics-Economics, B.S.",h2: Majors are also advised to complete:,"[{'CSC-121 Intro to Computer Programming': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60328&print'}, {'MTH-435 Scientific Computation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61341&print'}]"
178,"Education, B.A. (Teaching in Grades 2-6)","h2: To fulfill major requirements and certification standards, students must complete:","[{'EDU-001 Education Laboratory I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60424&print'}, {'EDU-111 Perspectives on American Education': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60425&print'}, 'or', {'EDU-112 History of Education in America': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61704&print'}, '', 'or', {'EDU-113 Introduction to Educational Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61705&print'}, '', 'or', {'EDU-114 Culture, Identity, and Schooling': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61706&print'}, '', {'EDU-120 Human Development': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60427&print'}, {'EDU-200 Health Education and Physical Activity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60508&print'}, {'EDU-221 Students with Exceptionalities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60430&print'}, {'EDU-305 Arts Integration in Elementary Grades': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60438&print'}, {'EDU-330 Literacy Foundations and Instruction in Grades PK-3': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60439&print'}, {'EDU-331 Literacy Processes and Instruction in Grades 2-6': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60440&print'}, {'EDU-332 Social Studies in Grades PK-6': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60441&print'}, {'EDU-333 Science in Grades PK-6': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60442&print'}, {'MTH-301 Mathematics for Elementary School Teachers I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60651&print'}, {'MTH-302 Mathematics for Elementary School Teachers II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60652&print'}, {'EDU-431 Diverse School Cultures: Teaching, Learning and Management': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60448&print'}]"
179,"Education, B.A. (Teaching in Grades 2-6)",h3: one biology course*:,"[{'BIO-101 Principles of Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60142&print'}, {'BIO-102 Biology and the Environment': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60143&print'}, {'BIO-111 Foundations of Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60144&print'}]"
180,"Education, B.A. (Teaching in Grades 2-6)",h3: one physical science course*:,"[{'CHM-101 Chemistry and Global Awareness': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60237&print'}, {'CHM-110 Foundations of Chemistry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60238&print'}, {'EES-112 Environmental Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60358&print'}, {'EES-113 Natural Hazards and Natural Disasters': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60359&print'}, {'EES-115 Earth Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60356&print'}, {'PHY-101 Physics for Non-Science Majors': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60988&print'}, {'PHY-105 Descriptive Astronomy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60990&print'}, {'PHY-106 The Solar System': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61308&print'}, {'PHY-107 Stars & Galaxies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61309&print'}, {'PHY-111 General Physics I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60991&print'}, {'SUS-120 Principles of Sustainability Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60390&print'}]"
181,"Education, B.A. (Teaching in Grades 2-6)",h4: *One of the science courses required toward graduation must have a lab.,
182,"Education, B.A. (Teaching in Grades 2-6)","h3: and, the senior block:","[{'EDU-434 Content Literacy Strategies and Modifications for Diverse Learners': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61347&print'}, {'EDU-470 Practicum in Teaching': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60458&print'}, {'EDU-435 Planning, Instruction, and Assessment in the Elementary Classroom': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61707&print'}, {'EDU-505 Teaching Internship': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60462&print'}]"
183,"Education, B.A. (Teaching in Grades 2-6)",h2: Early Teaching Experience,
184,"Education, B.A. (Teaching in Grades 2-6)",h2: Graduate summer admission,
185,"Educational Studies, B.A.",h2: The major requires nine (9) Education (EDU) courses and four (4) courses outside the Education Department. One of the science courses required toward graduation must have a lab:,
186,"Educational Studies, B.A.",h3: three introductory courses:,"[{'EDU-111 Perspectives on American Education': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60425&print'}, {'EDU-001': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60424&print'}, '', 'or', {'EDU-112 History of Education in America': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61704&print'}, '', 'or', {'EDU-113 Introduction to Educational Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61705&print'}, '', 'or', {'EDU-114 Culture, Identity, and Schooling': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61706&print'}, '', {'EDU-120 Human Development': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60427&print'}, {'EDU-221 Students with Exceptionalities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60430&print'}]"
187,"Educational Studies, B.A.",h3: two or three courses addressing fundamental elements of learning for various populations:,"[{'EDU-200 Health Education and Physical Activity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60508&print'}, {'EDU-215 Diversity, Equity, & Inclusion in Education': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61732&print'}, {'EDU-222 Nature of Learning Disabilities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60431&print'}, {'EDU-223 Nature of Emotional and Behavioral Disorders': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60432&print'}, {'EDU-235 Comparative International Education': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61513&print'}, {'EDU-250 Scholarly Reading and Writing in Education': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61395&print'}]"
